Indian (India)	(raw: Indian (India))
Québécois	(raw: Québécois)
British Isles	(raw: British Isles, n.o.s.)
Caucasian (White)	(raw: Caucasian (White), n.o.s.)
First Nations (North American Indian)	(raw: First Nations (North American Indian), n.o.s.)
Métis	(raw: Métis)
Acadian	(raw: Acadian)
Jewish	(raw: Jewish)
Punjabi	(raw: Punjabi)
Asian	(raw: Asian, n.o.s.)
Cree	(raw: Cree, n.o.s.)
Christian	(raw: Christian, n.i.e.)
North American Indigenous	(raw: North American Indigenous, n.o.s.)
Hindu	(raw: Hindu)
Mennonite	(raw: Mennonite)
South Asian	(raw: South Asian, n.o.s.)
Mi'kmaq	(raw: Mi'kmaq, n.o.s.)
Muslim	(raw: Muslim)
Latin, Central or South American	(raw: Latin, Central or South American, n.o.s.)
Tamil	(raw: Tamil)
Icelandic	(raw: Icelandic)
Black	(raw: Black, n.o.s.)
Ojibway	(raw: Ojibway)
Newfoundlander	(raw: Newfoundlander)
Hong Konger	(raw: Hong Konger)
Ontarian	(raw: Ontarian)
Persian	(raw: Persian)
Trinidadian/Tobagonian	(raw: Trinidadian/Tobagonian)
Inuit	(raw: Inuit, n.o.s.)
Algerian	(raw: Algerian)
Salvadorean	(raw: Salvadorean)
African Caribbean	(raw: African Caribbean)
East or Southeast Asian	(raw: East or Southeast Asian, n.o.s.)
West or Central Asian or Middle Eastern	(raw: West or Central Asian or Middle Eastern, n.o.s.)
Caribbean	(raw: Caribbean, n.o.s.)
Algonquin	(raw: Algonquin)
Congolese	(raw: Congolese)
Nova Scotian	(raw: Nova Scotian)
Hispanic	(raw: Hispanic, n.o.s.)
Yoruba	(raw: Yoruba)
Cambodian (Khmer)	(raw: Cambodian (Khmer))
Berber	(raw: Berber)
Slovenian	(raw: Slovenian)
Western European	(raw: Western European, n.o.s.)
New Brunswicker	(raw: New Brunswicker)
Gujarati	(raw: Gujarati)
Eritrean	(raw: Eritrean)
African Canadian	(raw: African Canadian)
Mohawk	(raw: Mohawk)
Albertan	(raw: Albertan)
African American	(raw: African American)
Tunisian	(raw: Tunisian)
Bosnian	(raw: Bosnian)
Innu/Montagnais	(raw: Innu/Montagnais, n.o.s.)
Bengali	(raw: Bengali)
Cameroonian	(raw: Cameroonian)
Ilocano	(raw: Ilocano)
Northern Irish	(raw: Northern Irish)
British Columbian	(raw: British Columbian)
Franco Ontarian	(raw: Franco Ontarian)
Argentinian	(raw: Argentinian)
Kurdish	(raw: Kurdish)
Jatt	(raw: Jatt)
North American	(raw: North American, n.o.s.)
Coptic	(raw: Coptic)
Nepali	(raw: Nepali)
Kabyle	(raw: Kabyle)
Assyrian	(raw: Assyrian)
Igbo	(raw: Igbo)
Byelorussian	(raw: Byelorussian)
Dene	(raw: Dene, n.o.s.)
Blackfoot	(raw: Blackfoot, n.o.s.)
Abenaki	(raw: Abenaki)
Moldovan	(raw: Moldovan)
Iroquois (Haudenosaunee)	(raw: Iroquois (Haudenosaunee), n.o.s.)
New Zealander	(raw: New Zealander)
Breton	(raw: Breton)
Pennsylvania Dutch	(raw: Pennsylvania Dutch)
Plains Cree	(raw: Plains Cree)
North African	(raw: North African, n.o.s.)
Huron (Wendat)	(raw: Huron (Wendat))
Saskatchewanian	(raw: Saskatchewanian)
Buddhist	(raw: Buddhist)
Gaspesian	(raw: Gaspesian)
Norman	(raw: Norman)
Southern or East African	(raw: Southern or East African, n.o.s.)
Ivorian	(raw: Ivorian)
Saulteaux	(raw: Saulteaux)
Anishinaabe	(raw: Anishinaabe, n.o.s.)
Burundian	(raw: Burundian)
Tigrinya	(raw: Tigrinya)
Mauritian	(raw: Mauritian)
Oji-Cree	(raw: Oji-Cree)
Vincentian	(raw: Vincentian)
Manitoban	(raw: Manitoban)
Cape Bretoner	(raw: Cape Bretoner)
Rwandan	(raw: Rwandan)
Grenadian	(raw: Grenadian)
Malayali	(raw: Malayali)
Chaldean	(raw: Chaldean)
Sinhalese	(raw: Sinhalese)
Mayan	(raw: Mayan)
Qalipu Mi'kmaq	(raw: Qalipu Mi'kmaq)
Indo-Caribbean	(raw: Indo-Caribbean)
Flemish	(raw: Flemish)
United Empire Loyalist	(raw: United Empire Loyalist)
Azerbaijani	(raw: Azerbaijani)
Sicilian	(raw: Sicilian)
Pashtun	(raw: Pashtun)
Malay	(raw: Malay)
Goan	(raw: Goan)
Bantu	(raw: Bantu, n.o.s.)
Tibetan	(raw: Tibetan)
Azorean	(raw: Azorean)
Atikamekw	(raw: Atikamekw)
Bamileke	(raw: Bamileke)
Indo-Guyanese	(raw: Indo-Guyanese)
Oromo	(raw: Oromo)
Tanzanian	(raw: Tanzanian)
Yemeni	(raw: Yemeni)
Central African	(raw: Central African)
Libyan	(raw: Libyan)
Akan	(raw: Akan, n.o.s.)
Central or West African	(raw: Central or West African, n.o.s.)
Igorot	(raw: Igorot)
Fulani	(raw: Fulani)
Woodland Cree	(raw: Woodland Cree)
Guinean	(raw: Guinean)
St. Lucian	(raw: St. Lucian)
Prince Edward Islander	(raw: Prince Edward Islander)
Maliseet	(raw: Maliseet)
Beninese	(raw: Beninese)
Telugu	(raw: Telugu)
Roma	(raw: Roma)
African Nova Scotian	(raw: African Nova Scotian)
Malagasy	(raw: Malagasy)
Kashmiri	(raw: Kashmiri)
Karen	(raw: Karen)
Edo	(raw: Edo)
Tajik	(raw: Tajik)
Amhara	(raw: Amhara)
