label,group,hue,sat,lit,population
English,western,196.0,0.5,0.48,5322830
Irish,western,198.0,0.42,0.52,4413120
Scottish,western,204.0,0.55,0.52,4392200
French,western,216.0,0.86,0.492,3985945
German,western,216.0,0.53,0.58,2955695
Italian,western,220.0,0.62,0.52,1546390
Dutch,western,214.0,0.75,0.5,988585
British Isles,western,197.5,0.7,0.442,938950
European,western,216.0,0.55,0.55,551910
Norwegian,western,205.0,0.72,0.64,466500
Welsh,western,204.0,0.6,0.48,455720
Portuguese,western,209.0,0.72,0.55,448305
Swedish,western,205.0,0.72,0.64,334505
Danish,western,205.0,0.72,0.64,196945
Austrian,western,216.0,0.55,0.54,189535
Belgian,western,213.0,0.75,0.49,182175
Mennonite,western,202.0,0.7,0.449,155095
Swiss,western,217.0,0.58,0.55,145570
Finnish,western,205.0,0.72,0.64,144055
Northern European,western,205.0,0.72,0.64,110735
Icelandic,western,206.5,0.7,0.458,101990
Australian,western,199.0,0.54,0.56,46765
Maltese,western,220.0,0.72,0.55,40670
Western European,western,211.0,0.7,0.469,38520
Northern Irish,western,215.5,0.7,0.482,25200
Celtic,western,199.0,0.48,0.48,24420
Breton,western,220.0,0.7,0.497,17465
Pennsylvania Dutch,western,224.5,0.7,0.508,17315
Norman,western,229.0,0.7,0.516,15340
Flemish,western,233.5,0.7,0.524,10275
Sicilian,western,238.0,0.7,0.53,9835
Azorean,western,242.5,0.7,0.532,8970
Basque,western,208.0,0.72,0.49,7745
Ukrainian,eastern,244.0,0.5,0.61,1258635
Polish,eastern,235.0,0.56,0.66,982820
Russian,eastern,244.0,0.42,0.6,548140
Hungarian,eastern,238.0,0.66,0.64,320150
Greek,eastern,250.0,0.68,0.54,262140
Romanian,eastern,246.0,0.65,0.55,215885
Croatian,eastern,246.0,0.65,0.58,130820
Czech,eastern,238.0,0.64,0.64,98925
Serbian,eastern,246.0,0.65,0.57,93360
Slovak,eastern,238.0,0.64,0.64,68210
Eastern European,eastern,238.0,0.66,0.63,66780
Lithuanian,eastern,238.0,0.68,0.66,52040
Albanian,eastern,246.0,0.65,0.56,41620
Macedonian,eastern,248.0,0.65,0.54,39440
