region_id,name,name_en,ele_m,lat,lon,px_cells
133943,Шпанберг,,1022,47.5751,142.1955,122214
3720626,大満寺山,Mt. Daimanji,608,36.2567,133.3305,111135
295064,Пушкинская,,1048,47.0223,142.8743,105855
3135161,金北山,Mt. Kinpoku,1172,38.1038,138.3498,102356
1243094,サシルイ岳,,1564,44.0954,145.1437,100068
3547124,日光白根山,Mount Nikko-Shirane,2578,36.7986,139.3759,96109
2547532,,,,,,94228
5053248,,,,,,89940
1026038,,,,,,86888
5470097,,,,,,82545
5548356,硫黄山,,394,30.4838,140.303,76674
3370404,大滝根山,Mt. Otakine,1192,37.3549,140.7016,71256
1673121,幌尻岳,Mt. Poroshiridake,2053,42.72,142.6827,66941
3772407,,,,,,64302
4634843,,,,,,61991
3167758,,,,,,61465
2673538,早池峰山,Mt. Hayachine,1917,39.5584,141.489,60430
1985662,관모봉,Kwanmo Peak,2540,41.705,129.2406,59181
3364676,高洲山,Mt. Kōshū,567,37.3864,136.9613,56641
4909385,,,,,,55644
2626023,青松葉山,Mt. Aomatsuba,1365,39.6974,141.4836,52435
1317060,Шикотан,Shakotan,405,43.87,146.8578,51154
1360515,г. Голец,Golec,1606,43.6989,133.6291,48552
211479,尖山,Jian Shan,767,47.3254,128.3319,48079
4286714,,,,,,47533
3690556,,,,,,47335
4332947,弟見山,,1085,34.3535,131.7779,46937
4481051,剣山,Mount Tsurugi,1955,33.8536,134.0943,44058
2770261,,,,,,43268
2849531,,,,,,42393
5745860,,,,,,39647
5595748,,,,,,37976
4377506,矢立山,Yatate Yama,649,34.1775,129.2261,37659
2875400,,,,,,37584
1515,г. Конская Голова,,1284,47.9767,138.6684,37448
5738863,,,,,,36074
6335278,,,,,,36022
2307569,두운봉,,2342,41.0015,127.7023,33643
5424085,,,,,,33625
893496,г. Глухоманка,,1593,45.1777,135.8069,33171
2217464,,,,,,32624
6307641,,,,,,32566
597965,г. Высокая,,1744,45.9697,136.6199,32228
5449985,,,,,,32225
3197669,,,,,,30668
5497077,天女ヶ倉,,238,30.7436,131.0533,30621
3432368,응봉산,,1268,37.2214,129.1329,28867
4407782,御山,Mt. Oyama,851,33.8744,139.6019,28743
2322345,高田大岳,Mt. Takada-Odake,1559,40.6531,140.9071,28682
1051816,Солонцовая,,1013,44.5089,135.5789,28165
430615,平顶山,,1365,46.6342,128.4747,27892
4708771,西山,Mt. Nishiyama,854,33.139,139.7651,27690
1156110,Сибирцева,Sibirtseva,1189,44.4241,146.132,27635
4812472,,,,,,27415
1274506,天塩岳,Mt. Teshiodake,1558,43.9644,142.888,27039
5140711,鰐塚山,Wanitsuka Yama,1118,31.7688,131.2695,26928
1474038,г. Ольховая (Китайская),,1669,43.3472,133.6562,26918
3128695,대청봉,Daecheongbong,1708,38.1192,128.4653,26339
1479934,,,,,,25033
4237371,팔영산 깃대봉,,607,34.6172,127.4364,25023
4005901,氷ノ山,Mount Hyonosen,1510,35.3539,134.5139,24854
240992,乌尔古力山,,400,47.2196,132.2289,24757
1003120,Стокап (вершина),,1634,44.8393,147.3445,24667
6238717,湯湾岳,Mt. Yuwan,694,28.296,129.3211,24383
5603082,,,,,,24313
3750091,白山,Mount Haku,2702,36.155,136.7715,23799
5132074,,,,,,23762
5087863,韓国岳,Mt. Karakuni,1700,31.9342,130.8616,23625
4795061,今ノ山,Mt. Imanoyama,868,32.8576,132.8501,23521
40162,Остряк,,334,47.8943,131.7188,22966
4748808,,,,,,22493
1364265,北鎮岳,Mt. Hokuchin,2244,43.6928,142.8799,21964
4095507,岩樋山,Mt. Iwatoi,1271,35.0696,133.224,21941
2581080,薬師岳,Mt. Yakushi,2038,39.8526,141.0011,21827
679797,Курортная,,1621,45.8543,137.2322,21695
3869016,駒ヶ岳,Mt. Komagatake,2956,35.7896,137.8046,21332
4569247,,,,,,21047
1055329,函岳,Hakodake,1129,44.6659,142.4121,20951
2856202,,,,,,20940
3560130,白馬岳,Mt. Shirouma,2932,36.7585,137.7585,20640
4704027,,,,,,20522
1526886,г. Чёрная,,1379,43.1836,134.0599,20319
778988,金龙山,,666,45.4896,127.3739,20229
4896841,,,,,,20102
5221416,,,,,,19998
4344944,,,,,,19914
5212506,,,,,,19715
4723589,中岳,Mt. Nakadake,1791,33.086,131.2491,19284
1417880,仁义顶子,,1125,43.0788,127.6591,19257
175667,г. Граничная,,1676,47.2282,137.4674,19160
2435405,,,,,,19116
739728,北大瓮北山,,501,45.4264,131.0143,18977
1230486,白石砬子,,1421,44.1173,127.8895,18874
6218639,,,,,,18855
4635903,장구목오름,Janggumok-Oreum,1813,33.3663,126.5251,18823
1572602,余市岳,Mt. Yoichi,1488,43.0327,141.0198,18765
2321295,,,,,,18642
336221,饶河大顶子山森林公园,,449,46.9442,133.5836,18425
4427031,,,,,,18381
665969,,,,,,18308
1550298,棺材砬子山 Высотная гора,Vysotnaya Mountain,996,43.1002,131.1603,18251
5770121,,,,,,18121
1407472,北大顶,,952,43.2879,128.8319,18034
5886898,,,,,,18000
310285,Водораздельная,,1575,47.0191,137.7137,17997
2821205,七高山,Mount Shichiko,2229,39.0995,140.0513,17947
1038109,绕绪山,,1020,44.7201,130.9149,17923
2055522,江良岳,Era Dake,732,41.51,139.3672,17835
553588,Старицкого,,439,46.2548,141.2309,17807
1831201,遊楽部岳,Mt. Yurappudake,1277,42.219,140.0103,17740
3913947,北岳,Mount Kita,3193,35.6743,138.2388,17737
4084274,백운산,Mt. Baek-un,1222,35.1064,127.6213,17671
4415228,龍神岳,Mt. Ryujin,1382,34.0589,135.5746,17603
1526474,杜北山,Dubei Shan,1284,43.1775,130.7639,17197
5740238,,,,,,17170
1309566,杨木大顶子,,1099,43.7068,126.9051,17108
1152963,ピッシリ山,Mt. Pisshiri,1032,44.3556,142.0321,17054
2268910,,,,,,16877
3842720,北奥千丈岳,Mt. Kita-Okusenjo,2601,35.8686,138.6707,16742
222787,Матай,,812,47.6118,135.4463,16683
1903688,장군봉,Changgun Peak,2750,41.9934,128.0783,16625
5959415,,,,,,16615
1769313,웅기산,Unggi Mountain,405,42.3394,130.4284,16397
525993,老秃顶子,,503,46.5876,131.2017,16348
5593927,,,,,,16285
2324916,鳥海山,Mt. Chokai,1502,40.6527,140.2993,16116
1413367,г. Сестра,,1671,43.5305,134.0598,16026
3094867,,,,,,15845
3968012,방장산,,743,35.4557,126.7544,15699
1363223,Гора Облачная,,1854,43.6952,134.1997,15607
1463122,杜荒子北山,,1137,43.3966,130.6838,15036
914082,Пропасть,,712,45.151,131.6837,14791
5771564,,,,,,14724
4847370,父ヶ岳,Mt. Tetegadake,460,32.6982,128.681,14519
2543296,,,,,,14465
481863,Крутая,,1436,46.4772,137.531,14289
1178467,Арарат,,1385,44.2788,134.56,14219
4612603,脊振山,Mt. Sefuri,1055,33.4364,130.3687,14003
4822689,,,,,,13997
2298853,,,,,,13897
3939236,가지산,GAJISAN,1241,35.6203,129.0029,13890
1858613,羊岔上掌,,1293,42.123,126.4461,13791
3518744,,,,,,13645
5538578,,,,,,13472
4700024,堂ヶ森,Mt. Dogamori,857,33.1599,132.8768,13374
940953,г. Конусная,,834,45.1179,134.8361,13323
4285446,恐羅漢山,Mt. Osorakan,1346,34.5955,132.1296,13296
5208135,,,,,,12986
444108,七星砬子,,717,46.5883,130.9115,12969
2498568,,,,,,12930
5832803,,,,,,12899
4378332,日出ケ岳,Mt. Hinodegatake,1695,34.1852,136.1092,12861
1130789,г. Синегорка,,1033,44.3714,133.0004,12730
5894966,,,,,,12539
1550494,г. Ливадийская (Пидан),,1332,43.071,132.6935,12439
5200400,,,,,,12345
6070715,,,,,,12179
3844049,덕유산 향적봉,Deokyusan Hyangjeokbong,1614,35.86,127.7465,12015
4570672,笠取山,Mt. Kasatori,1562,33.5555,132.9225,12012
5224236,,,,,,11927
4577442,,,,,,11892
3453470,함백산,hambaeksan,1572,37.1612,128.9176,11878
4625180,,,,,,11774
1156786,天岭,Tian Ling,1052,44.3406,129.8879,11686
4884612,国見岳,Mt. Kunimi,1739,32.5471,131.0184,11684
3060245,,,,,,11664
3085190,大朝日岳,Mount O-Asahi,1871,38.2606,139.9223,11579
4805441,祖母山,Mt. Sobosan,1756,32.8282,131.3471,11420
752793,土门子山,,311,45.293,128.7694,11387
214298,,,,,,11380
1209708,张三山,,873,44.1102,131.193,11360
508019,г. Петровка,,1007,46.461,135.6053,11288
5286571,,,,,,11256
940204,,,,,,11186
1356182,暑寒別岳,Mt. Shokanbetsu,1492,43.7159,141.5229,11149
5950119,,,,,,10881
3318629,검단산,Geomdansan,658,37.5177,127.2494,10856
1761208,甑峰山,,1676,42.4375,128.7293,10809
1501254,余別岳,Mt. Yobetsu,1298,43.2601,140.4591,10424
3876781,能郷白山,Mt. Nogo-Hakusan,1617,35.7624,136.5141,10411
1509393,芦別岳,Ashibetsu Dake,1726,43.2358,142.2836,10408
2959672,시루봉,Siru Peak,1267,38.6527,127.9376,10352
5852802,,,,,,10285
3875080,,,,,,10221
6335731,,,,,,10126
6158196,,,,,,10096
4507333,石鎚山,Mt. Ishizuchi,1982,33.7678,133.1151,10081
6108923,,,,,,10021
508113,г. Широкая,,1505,46.3983,136.2916,9927
5594700,宮之浦岳,Mount Miyanoura,1936,30.3361,130.5042,9843
6148404,,,,,,9594
2039097,,,,,,9560
3122212,熊野岳,Mt. Kumano,1841,38.1439,140.4398,9558
589419,锅盔山,,801,46.3483,131.6137,9477
4141974,,,,,,9307
2957051,금강산 비로봉,"Birobong Peak, Geumgangsan Mountain",1639,38.6569,128.105,9265
5913375,,,,,,9193
6185850,,,,,,9183
3577272,가야산 가야봉,,678,36.7066,126.6083,9136
2488371,,,,,,9074
894149,利尻山南峰,Mt. Rishiri South Peak,1721,45.1785,141.242,9065
858945,Синяя (Рябая),,1049,45.2838,133.8833,9059
5848513,,,,,,8771
2034499,大千軒岳,Mt. Daisengen,1072,41.5793,140.1611,8705
3984829,三岳山,Mt. Mitake,839,35.3941,135.0577,8625
6233517,喜界島最高地,,185,28.3001,129.9737,8581
1843139,락두산,,127,41.8243,129.8146,8397
1470538,锅盔顶子,,928,43.3502,126.4848,8385
4778848,八郎岳,Hachiro Dake,590,32.6702,129.8565,8352
6002820,,,,,,8349
3694757,奥穂高岳,Mount Okuhotaka,3190,36.2892,137.648,8332
4547420,,,,,,8174
5328980,,,,,,8093
3828162,운장산동봉 삼장봉,Samjangbong,1133,35.9142,127.3622,8051
2294274,고개산,Kogae-san,1053,41.0529,126.8299,8044
1993419,望天鹅,,2051,41.7278,127.8994,7986
3749156,보현산,,1126,36.1648,128.977,7862
5378843,,,,,,7852
5931324,,,,,,7808
3165544,화악산 상봉,Hwaaksan Sangbong,1468,37.9948,127.5033,7612
1569761,,,,,,7483
6158236,,,,,,7454
233643,г. Аник,,1932,47.2609,137.0273,7438
3624944,천왕봉,cheonwangbong,1058,36.5431,127.8707,7422
1743632,,,,,,7359
106038,金顶山,Jinding Shan,767,47.5618,129.9348,7307
4282118,첨찰산,,485,34.4757,126.3217,7289
5025173,,,,,,7259
4827875,,,,,,7217
5648245,,,,,,7216
326042,г. Арсеньева,,1758,46.8435,136.703,7183
769303,,,,,,7183
6206180,,,,,,7104
1891204,,,,,,7062
1707112,狩場山,Mt. Kariba,1520,42.6133,139.9406,6997
478170,骆驼山,Luotuo Shan,1029,46.5322,128.9077,6930
3436877,,,,,,6794
4188151,六甲山,Mt. Rokkō,931,34.778,135.2637,6757
4383819,,,,,,6743
5419359,,,,,,6727
281106,Ко,Ko,2003,47.1163,136.5684,6664
6273931,,,,,,6649
4100767,立鳥帽子山,Mt. Tate-Eboshiyama,1299,35.052,133.0655,6626
385799,,,,,,6602
2175513,희색봉,,2185,41.1198,127.2722,6596
2925289,림암산,,1201,38.6982,127.4269,6580
344363,г. Снежная,,1038,46.9089,135.6955,6567
3305818,,,,,,6524
3653838,오서산,,790,36.4584,126.6594,6438
4162199,万三郎岳,Mt. Banzaburo,1406,34.8628,139.0019,6365
4320251,国見山,Mt. Kunimi,1419,34.3758,136.0867,6352
5972064,イマキラ岳,Mt. Imakira,292,29.1444,129.2081,6347
771102,,,,,,6346
3260156,,,,,,6344
5516312,,,,,,6258
161379,,,,,,6236
2727047,,,,,,6222
5016592,白髪岳,Shiraga Dake,1417,32.1503,130.9433,6192
3711357,,,,,,6170
4163600,벽방산,Byeokbangsan,652,34.9486,128.3832,6117
4932037,倉岳,Kura Take,682,32.4278,130.327,6071
5834032,,,,,,6070
2530227,,,,,,5992
5233557,,,,,,5976
3442235,,,,,,5916
