name,rid,color,area_px,lon,lat,country,province,admin_divisions,flags
,808,#d8f8bb,13,139.5092,43.5171,?,,,mostly-offshore/uncovered;no-admin
,1438,#f3efe5,13,97.9752,1.9637,?,,,mostly-offshore/uncovered;no-admin
,955,#e1eeaa,6314,103.0785,13.8,Cambodia,"Banteay Meanchey, Oddar Meanchey, Sa Kaeo, Buri Ram","Banteay Meanchey (also Oddar Meanchey, Sa Kaeo, Buri Ram)",
,1011,#e4ecc3,34418,105.0865,13.645,Cambodia,"Preah Vihear, Stung Treng, Oddar Meanchey, Siemreap, Kratie, Kampong Thom, Mondul Kiri, Champasack, Surin, Si Sa Ket, Ubon Ratchathani","Preah Vihear (also Stung Treng, Oddar Meanchey, Siemreap, Kratie, Kampong Thom, Mondul Kiri, Champasack, Surin, Si Sa Ket, Ubon Ratchathani)",
,1016,#e4f1a7,5067,103.9265,13.3696,Cambodia,Siemreap,"western half of Chi Kraeng (also Puok, Soutr Nikom, Kralanh, Siem Reap, Banteay Srei, Angkor Chum, Angkor Thum, Prasat Bakong)",
,775,#d5e4a1,9004,102.8977,12.9969,Cambodia,"Battambang, Pailin, Banteay Meanchey, Chanthaburi","Samlout (also Pailin, Koas Krala, Bavel, Banan, Thma Koul, Sangkae, Rotonak Mondol, Phnum Proek, Kamrieng, Sampov Lun, Aek Phnum, Banteay Meanchey…)",
,1162,#eaf1b6,11080,105.0086,12.6537,Cambodia,"Kampong Thom, Kampong Cham, Kampong Chhnang, Preah Vihear, Siemreap, Tboung Khmum, Kratie","Santuk (also Kampong Cham, Stoung, Kampong Svay, Prasat Ballangk, Baray, Kampong Chhnang, Prasat Sambour, Stueng Saen, Preah Vihear, Tboung Khmum, Siemreap, Kratie)",
,929,#e0d4af,21692,107.1331,12.4903,Cambodia,"Mondul Kiri, Đăk Nông, Bình Phước, Kratie, Ratanak Kiri, Lâm Đồng, Đồng Nai, Đắk Lắk","Mondul Kiri (also Bình Phước, Kratie, Đăk Glong, Tuy Đức, Dak Song, Đăk R'Lấp (Dak Rlap), Krông Nô (Krong No), Đăk Mil (Dak Mil), Ratanak Kiri, Lâm Đồng, Đồng Nai, Đắk Lắk)",
,801,#d8ecb9,19127,103.692,12.3038,Cambodia,"Pursat, Koh Kong, Battambang, Kampong Chhnang, Kampong Thom, Banteay Meanchey","Pursat (also Koh Kong, Battambang, Kampong Chhnang, Kampong Thom, Banteay Meanchey)",
,1025,#e5ebae,8620,106.0534,12.1917,Cambodia,"Kratie, Tboung Khmum","Tboung Khmum minus Ou Reang Ov (also Snuol, Chetr Borei, Prek Prasab, Chhloung, Kracheh)",
