key,en,cn,color,people_drawn
han,Han,汉族,#7d8796,636672329
zhuang,Zhuang,壮族,#fb9df8,17309860
hui,Hui,回族,#7edf7f,6944635
yi,Yi,彝族,#fab72a,5438341
mongol,Mongol,蒙古族,#e36270,4992803
miao,Miao,苗族,#4992f2,3090205
tujia,Tujia,土家族,#26e4b0,2992057
manchu,Manchu,满族,#75a322,2717293
yao,Yao,瑶族,#c7ce3e,1972129
tibetan,Tibetan,藏族,#c56ac3,1722301
bai,Bai,白族,#de6e29,1687030
hani,Hani,哈尼族,#28ad5e,1680172
li,Li,黎族,#e3c327,1406523
korean,Korean,朝鲜族,#c18ffc,1394631
dai,Dai,傣族,#fa7ba7,1293084
lisu,Lisu,傈僳族,#74d1ff,723164
dong,Dong,侗族,#d9639c,681561
she,She,畲族,#fa8746,577198
bouyei,Bouyei,布依族,#6bd4f9,555535
lahu,Lahu,拉祜族,#9c7ae8,486211
wa,Wa,佤族,#23c987,410509
naxi,Naxi,纳西族,#ffa6c1,308716
tu,Tu,土族,#2b97ee,216962
mulao,Mulao,仫佬族,#da7306,196374
jingpo,Jingpo,景颇族,#aeb414,154247
salar,Salar,撒拉族,#ffae85,137279
blang,Blang,布朗族,#d3b2fe,123685
daur,Daur,达斡尔族,#5ddae0,117748
undetermined,Not determined,未定族称人口,#a39d8c,100910
sui,Sui,水族,#16a7a3,91516
uyghur,Uyghur,维吾尔族,#8184f1,83283
maonan,Maonan,毛南族,#4aaa4d,79237
gelao,Gelao,仡佬族,#a876e1,75588
pumi,Pumi,普米族,#62a739,43885
achang,Achang,阿昌族,#7189f3,42028
nu,Nu,怒族,#a6d75e,35101
evenki,Evenki,鄂温克族,#fca6cc,32587
dongxiang,Dongxiang,东乡族,#dcaff8,31043
gin,Gin,京族,#ef911d,30613
jino,Jino,基诺族,#5fdbd6,25603
xibe,Xibe,锡伯族,#ae8e38,23840
deang,De'ang,德昂族,#16a4b5,21566
kazakh,Kazakh,哈萨克族,#22a2bd,11928
qiang,Qiang,羌族,#fbb17d,8974
oroqen,Oroqen,鄂伦春族,#efbd24,8413
derung,Derung,独龙族,#ff7c88,6910
russian,Russian,俄罗斯族,#ff8068,6803
naturalised,Naturalised,入籍,#b3b3b3,5122
hezhen,Hezhen,赫哲族,#59b7e4,4817
kyrgyz,Kyrgyz,柯尔克孜族,#4ce3a0,3275
bonan,Bonan,保安族,#30a890,2082
gaoshan,Gaoshan,高山族,#e880d1,2069
yugur,Yugur,裕固族,#e36650,835
tajik,Tajik,塔吉克族,#cd67b7,357
monpa,Monpa,门巴族,#93db6e,318
uzbek,Uzbek,乌孜别克族,#dd628e,274
tatar,Tatar,塔塔尔族,#5f8df3,157
lhoba,Lhoba,珞巴族,#9d953d,113
