city,source,kind,tags,y0,y1,span_real,segments,v0,v1,ratio,direction,era,city_peak,lat,lon
Funza,populstat,terminal,frozen23y,2001,2003,2.0,2,4530000,49900,90.782,down,1900+,4530000,4.7177,-74.2119
Izmaïl,buringh,step,flat188/0,1807,1815,7.9,3,33599,2000,16.8,down,1400-1900,92300,45.3502,28.8502
Vorst,buringh,step,flat62/0,1896,1901,4.9,2,172999,10600,16.321,down,1900+,173000,50.8203,4.3258
Aurangâbâd,populstat,seam,,1990,1992,2.0,2,61140,956000,15.636,up,1900+,1570000,19.8758,75.3393
Ciledug,populstat,terminal,frozen23y,2001,2003,2.0,2,1220000,87499,13.943,down,1900+,1220000,-6.2417,106.7023
Mashhad,populstat,step,flat270/0,1788,1796,7.9,2,249999,18000,13.889,down,1400-1900,5400000,36.2972,59.6067
Wuwei,populstat,seam,,1993,1995,2.0,2,903025,66900,13.498,down,1900+,916000,37.9282,102.638
Gonder,populstat,step,flat825/0,1827,1835,7.9,2,71999,6500,11.077,down,1400-1900,393000,12.5986,37.451
Gulbarga,populstat,fade,,1366,1391,25.0,1,90000,8217,10.952,down,AD1-1400,754000,17.3297,76.8343
Pâtan,populstat,seam,,2001,2003,2.0,2,161999,1717076,10.599,up,1900+,3230000,27.6588,85.3247
Sagaing,populstat,step,flat1159/251,1930,1932,2.0,2,150000,14200,10.563,down,1900+,158000,21.916,95.9621
Yuanlang,populstat,seam,,1986,1988,2.0,2,75700,756889,9.999,up,1900+,1070000,22.4445,114.0222
Potosí,populstat,step,flat62/0,1817,1825,7.9,2,74200,8000,9.275,down,1400-1900,244000,-19.5723,-65.755
Tabora,populstat,seam,,1995,1997,2.0,2,959999,105503,9.099,down,1900+,960000,-5.0425,32.8197
Iznik,populstat,step,flat314/277,1850,1858,7.9,2,124999,13899,8.993,down,1400-1900,125000,40.4295,29.7197
Graville-Sainte-Honorine,buringh,step,flat62/0,1896,1901,4.9,2,106000,12000,8.833,down,1900+,177000,49.4986,0.149
Zhongxiang,populstat,seam,,1994,1996,2.0,2,1020000,117820,8.657,down,1900+,1020000,31.168,112.5882
Esfahân,populstat,step,flat566/0,1736,1744,7.9,2,359999,45000,8.0,down,1400-1900,1840000,32.6539,51.666
Delhi,populstat,other,,1375,1400,25.0,3,200000,25342,7.892,down,1400-1900,30200000,28.7041,77.1025
Sagaing,populstat,step,flat0/188,1755,1763,7.9,2,8000,61999,7.75,up,1400-1900,158000,21.916,95.9621
Vijayanagara (Hospet),populstat,fade,,1550,1558,7.9,1,480000,62294,7.705,down,1400-1900,480000,15.2689,76.3909
Vijayanagara (Hospet),populstat,fade,,1566,1574,7.9,1,7705,1000,7.705,down,1400-1900,480000,15.2689,76.3909
Chicago,populstat,other,,1842,1850,7.9,1,7639,58599,7.67,up,1400-1900,3730000,41.8781,-87.6298
Pingdu,chandler_modelski,seam,,2000,2002,2.0,2,1300000,178722,7.274,down,1900+,1300000,36.7833,119.9556
Kottayam,populstat,seam,,1990,1992,2.0,2,153242,1100000,7.178,up,1900+,1170000,9.5916,76.5222
Handan,populstat,fade,,1955,1957,2.0,1,53277,379999,7.132,up,1900+,1790000,36.6256,114.5392
Shenzhen,populstat,seam,,2000,2002,2.0,2,1254664,8910000,7.102,up,1900+,13900000,22.5429,114.0596
Danzhou,chandler_modelski,seam,,2000,2002,2.0,2,1389999,196651,7.068,down,1900+,1390000,19.5,109.5833
Baharampur,populstat,other,,1821,1829,7.9,2,162374,23000,7.06,down,1400-1900,1110000,24.0983,88.2684
Ulm,buringh,other,,1648,1656,7.9,2,14064,2000,7.032,down,1400-1900,120000,48.4011,9.9876
Baharampur,populstat,step,flat0/283,1763,1771,7.9,2,30000,209601,6.987,up,1400-1900,1110000,24.0983,88.2684
Yuzhou,populstat,fade,,250,275,25.0,2,6972,1000,6.973,down,AD1-1400,339000,34.1405,113.4879
Yuzhou,populstat,fade,,200,225,25.0,2,339000,48618,6.973,down,AD1-1400,339000,34.1405,113.4879
Shuicheng,populstat,seam,,1994,1996,2.0,2,2215170,323999,6.837,down,1900+,2220000,26.5466,104.9576
Lianyuan,chandler_modelski,seam,,2000,2002,2.0,2,1009999,148331,6.809,down,1900+,1010000,27.692,111.664
Johannesburg,populstat,other,,1889,1897,7.9,3,15000,102000,6.8,up,1400-1900,7080000,-26.2056,28.0337
Taxila,populstat,fade,,0,25,25.5,3,150000,22216,6.752,down,AD1-1400,757000,33.7463,72.8397
Xiaguan,populstat,fade,,1377,1401,23.6,1,24999,3731,6.699,down,1400-1900,275000,25.5824,100.2256
Chorzów,buringh,step,flat151/0,1919,1921,2.0,2,499999,74799,6.684,down,1900+,500000,50.294,18.9545
Lahore,populstat,step,flat314/0,1699,1707,7.9,2,359999,53999,6.667,down,1400-1900,15200000,31.5204,74.3587
Aurangâbâd,populstat,step,flat755/352,1817,1825,7.9,2,200000,30000,6.667,down,1400-1900,1570000,19.8758,75.3393
Pâtan,populstat,fade,,1392,1405,13.4,1,60000,9050,6.63,down,1400-1900,224000,23.85,72.121
Samarra,populstat,fade,,889,914,25.0,1,280000,42799,6.542,down,AD1-1400,280000,34.166,43.9055
Samarra,populstat,fade,,939,964,25.0,1,6542,1000,6.542,down,AD1-1400,280000,34.166,43.9055
Ni`'znij Novgorod,buringh,fade,,1300,1325,25.0,1,1000,6324,6.325,up,AD1-1400,1540000,56.3269,44.0059
Ni`'znij Novgorod,buringh,fade,,1325,1350,25.0,1,6324,40000,6.325,up,AD1-1400,1540000,56.3269,44.0059
Macheng,chandler_modelski,seam,,2000,2002,2.0,2,1060000,170740,6.208,down,1900+,1060000,31.3167,115.1
Yogyakarta,populstat,seam,,2002,2004,2.0,2,418000,2593383,6.204,up,1900+,2870000,-7.8014,110.3648
Colombo,populstat,seam,,2001,2003,2.0,2,642000,3962612,6.172,up,1900+,5220000,6.9271,79.8612
Miami,populstat,seam,,2000,2002,2.0,2,362999,2237051,6.163,up,1900+,2910000,25.7617,-80.1918
Rânîbennur,populstat,step,flat850/447,1790,1798,7.9,1,78000,12743,6.121,down,1400-1900,129000,14.6154,75.6288
Xinghua,chandler_modelski,seam,,2000,2002,2.0,2,1500000,245372,6.113,down,1900+,1500000,32.93,119.83
Qandahâr,populstat,step,flat100/0,1785,1793,7.9,2,150000,24999,6.0,down,1400-1900,799000,31.6205,65.7158
Ayutthaya,populstat,step,flat522/0,1847,1855,7.9,2,180000,30000,6.0,down,1400-1900,272000,14.3692,100.5877
Amarapura,populstat,step,flat214/0,1819,1827,7.9,2,180000,30000,6.0,down,1400-1900,180000,21.9039,96.0494
Fort Lauderdale,populstat,seam,,2000,2002,2.0,2,152000,908886,5.98,up,1900+,1370000,26.1224,-80.1373
Zaoyang,populstat,seam,,1994,1996,2.0,2,1040000,173999,5.977,down,1900+,1040000,32.1284,112.774
Baharampur,populstat,other,,1755,1763,7.9,3,178826,30000,5.961,down,1400-1900,1110000,24.0983,88.2684
Krishnanagar,populstat,seam,,1990,1992,2.0,2,118618,702999,5.927,up,1900+,949000,23.4013,88.5021
Tianmen,populstat,seam,,1999,2001,2.0,2,1628061,276999,5.877,down,1900+,1630000,30.6634,113.1661
Onitsha,populstat,seam,,1995,1997,2.0,2,362999,2127869,5.862,up,1900+,5630000,6.1329,6.7924
Banhâ,populstat,seam,,2002,2004,2.0,2,167000,977043,5.851,up,1900+,2090000,30.466,31.1848
Ephesus (Selçuk),populstat,fade,,1,26,25.0,1,200000,34199,5.848,down,AD1-1400,200000,37.9508,27.37
Ephesus (Selçuk),populstat,fade,,51,76,25.0,1,5848,1000,5.848,down,AD1-1400,200000,37.9508,27.37
Nara,populstat,fade,,709,734,25.0,1,200000,34199,5.848,down,AD1-1400,1230000,34.6851,135.8048
Nara,populstat,fade,,759,784,25.0,2,5848,1000,5.848,down,AD1-1400,1230000,34.6851,135.8048
Yiyang,populstat,fade,,-300,-250,50.0,1,200000,34199,5.848,down,pre-AD1,1190000,28.5539,112.3552
Yiyang,populstat,fade,,-200,-150,50.0,1,5848,1000,5.848,down,pre-AD1,1190000,28.5539,112.3552
Kaifeng,populstat,fade,,-400,-350,50.0,1,200000,34199,5.848,down,pre-AD1,1090000,34.7973,114.3073
Kaifeng,populstat,fade,,-300,-250,50.0,1,5848,1000,5.848,down,pre-AD1,1090000,34.7973,114.3073
Mary,populstat,fade,,1150,1175,25.0,1,200000,34199,5.848,down,AD1-1400,280000,37.6092,61.8643
Mary,populstat,fade,,1200,1225,25.0,1,5848,1000,5.848,down,AD1-1400,280000,37.6092,61.8643
Kamakura,populstat,fade,,1250,1275,25.0,2,200000,34199,5.848,down,AD1-1400,200000,35.3192,139.5467
Kamakura,populstat,fade,,1300,1325,25.0,2,5848,1000,5.848,down,AD1-1400,200000,35.3192,139.5467
Siracusa,buringh,fade,,-300,-250,50.0,1,200000,34199,5.848,down,pre-AD1,200000,37.0754,15.2867
Siracusa,buringh,fade,,-200,-150,50.0,1,5848,1000,5.848,down,pre-AD1,200000,37.0754,15.2867
Lingling,populstat,seam,,1995,1997,2.0,2,1020000,175227,5.821,down,1900+,1020000,26.2225,111.6311
Feodosia,chandler_modelski,step,flat503/0,1820,1828,7.9,1,26999,4678,5.771,down,1400-1900,75400,45.0489,35.3792
Wuxi,populstat,fade,,1923,1925,2.0,1,34672,200000,5.768,up,1900+,2630000,31.491,120.3124
Stif,populstat,seam,,2000,2002,2.0,2,1310000,227658,5.754,down,1900+,1310000,36.1898,5.4108
Zhengzhou,populstat,fade,,1934,1936,2.0,1,34323,197000,5.739,up,1900+,6390000,34.7472,113.6249
Liling,populstat,seam,,1993,1995,2.0,2,972622,170000,5.721,down,1900+,988000,27.6462,113.497
Thessaloniki,buringh,step,flat574/0,1422,1430,7.9,2,40028,7000,5.718,down,1400-1900,799000,40.6401,22.9444
Shenyang,populstat,other,,1873,1881,7.9,2,170771,30000,5.692,down,1400-1900,6890000,41.8048,123.433
Lagos,populstat,seam,,1999,2001,2.0,2,1429999,8102626,5.666,up,1900+,12800000,6.5244,3.3792
Bagan,chandler_modelski,fade,,1250,1275,25.0,2,180000,31879,5.646,down,AD1-1400,180000,21.1721,94.8602
Bagan,chandler_modelski,fade,,1300,1325,25.0,2,5646,1000,5.646,down,AD1-1400,180000,21.1721,94.8602
Capua (S.M. Capua Vetere),buringh,fade,,100,125,25.0,1,171999,30928,5.561,down,AD1-1400,172000,41.0821,14.2543
Capua (S.M. Capua Vetere),buringh,fade,,150,175,25.0,1,5561,1000,5.561,down,AD1-1400,172000,41.0821,14.2543
Qufu,chandler_modelski,fade,,1,26,25.0,1,170000,30687,5.54,down,AD1-1400,250000,35.6,117.0333
Qufu,chandler_modelski,fade,,51,76,25.0,1,5539,1000,5.54,down,AD1-1400,250000,35.6,117.0333
Xintai,populstat,seam,,1994,1996,2.0,2,1305068,235999,5.53,down,1900+,1310000,35.6792,117.5931
Pergamon (Bergama),populstat,fade,,100,125,25.0,1,165000,30083,5.485,down,AD1-1400,165000,39.1214,27.1799
Pergamon (Bergama),populstat,fade,,150,175,25.0,1,5484,1000,5.485,down,AD1-1400,165000,39.1214,27.1799
Oruro,populstat,step,flat642/371,1780,1788,7.9,2,38000,7000,5.429,down,1400-1900,348000,-17.9717,-67.0931
Baharampur,populstat,step,flat0/207,1829,1837,7.9,1,23000,123364,5.364,up,1400-1900,1110000,24.0983,88.2684
Basrah,populstat,step,flat453/75,1830,1838,7.9,1,65000,12158,5.346,down,1400-1900,2030000,30.526,47.7738
Patna,populstat,fade,,361,386,25.0,1,150000,28231,5.313,down,AD1-1400,3310000,25.5941,85.1376
Patna,populstat,fade,,411,436,25.0,1,5313,1000,5.313,down,AD1-1400,3310000,25.5941,85.1376
Linqu,populstat,seam,,1990,1992,2.0,2,872000,164131,5.313,down,1900+,872000,36.5123,118.543
Shaoxing,populstat,fade,,1842,1850,7.9,1,28854,152000,5.268,up,1400-1900,500000,29.9958,120.5861
Handan,populstat,fade,,400,425,25.0,2,142000,27218,5.217,down,AD1-1400,1790000,36.6256,114.5392
Handan,populstat,fade,,450,475,25.0,2,5217,1000,5.217,down,AD1-1400,1790000,36.6256,114.5392
Yarîm,populstat,fade,,-100,-50,50.0,1,60000,11817,5.077,down,pre-AD1,304000,14.2965,44.3757
Yarîm,populstat,fade,,-49,1,50.0,1,11439,2253,5.077,down,AD1-1400,304000,14.2965,44.3757
Qinzhou,populstat,seam,,1999,2001,2.0,2,1069039,213000,5.019,down,1900+,1070000,21.9797,108.6543
Adana,populstat,step,flat62/0,1807,1815,7.9,3,30000,5999,5.0,down,1400-1900,1090000,36.9914,35.3308
Kalyân,populstat,fade,,1143,1168,25.0,1,124999,24999,5.0,down,AD1-1400,3160000,19.2403,73.1305
Kalyân,populstat,fade,,1193,1218,25.0,1,4999,1000,5.0,down,AD1-1400,3160000,19.2403,73.1305
Meknès,populstat,step,flat270/0,1767,1775,7.9,2,200000,40000,5.0,down,1400-1900,723000,33.8675,-5.5382
Pi-Ramesses (Faqus),populstat,fade,,-1100,-1050,50.0,1,120000,24328,4.932,down,pre-AD1,470000,30.7293,31.7978
Pi-Ramesses (Faqus),populstat,fade,,-1000,-950,50.0,1,4932,1000,4.932,down,pre-AD1,470000,30.7293,31.7978
Islâmâbâd,populstat,seam,,1998,2000,2.0,2,525000,2588438,4.93,up,1900+,4860000,33.6996,73.0362
Karima,populstat,fade,,1350,1375,25.0,1,40000,8156,4.904,down,AD1-1400,50000,18.53,31.8278
Karima,populstat,fade,,1375,1400,25.0,1,8156,1663,4.904,down,1400-1900,50000,18.53,31.8278
Sukhothai,populstat,fade,,1350,1375,25.0,1,40000,8156,4.904,down,AD1-1400,40000,17.0076,99.8264
Sukhothai,populstat,fade,,1375,1400,25.0,1,8156,1663,4.904,down,1400-1900,40000,17.0076,99.8264
Izmir,populstat,fade,,0,25,25.5,2,107000,21847,4.898,down,AD1-1400,2680000,38.4237,27.1428
Dingzhou,chandler_modelski,seam,,2000,2002,2.0,2,1020000,209417,4.871,down,1900+,1020000,38.5167,114.9833
Bûr Sa'îd,populstat,fade,,1150,1175,25.0,1,4848,1000,4.849,down,AD1-1400,850000,31.2653,32.3019
Bûr Sa'îd,populstat,fade,,1100,1125,25.0,1,114000,23510,4.849,down,AD1-1400,850000,31.2653,32.3019
Carthage (La Marsa),populstat,other,,-430,-380,50.0,2,49999,240224,4.804,up,pre-AD1,500000,36.8891,10.3223
Hufûf,populstat,fade,,1051,1076,25.0,1,110000,22957,4.791,down,AD1-1400,753000,25.38,49.5888
Hufûf,populstat,fade,,1101,1126,25.0,1,4791,1000,4.791,down,AD1-1400,753000,25.38,49.5888
Kufa,populstat,fade,,754,779,25.0,1,110000,22957,4.791,down,AD1-1400,200000,32.0472,44.3709
Kufa,populstat,fade,,804,829,25.0,1,4791,1000,4.791,down,AD1-1400,200000,32.0472,44.3709
Izmir,populstat,fade,,50,75,25.0,2,4747,1000,4.747,down,AD1-1400,2680000,38.4237,27.1428
