# 1950 US census, city proper (incorporated place). Loaded by build.py.
# Source: US Census Bureau Working Paper 27 (Gibson 1998), "Population of the 100
#   Largest Urban Places: 1950", table 18, from www2.census.gov. Tables 17 (1940)
#   and 19 (1960) were fetched too, and used only to VERIFY the unit -- never copied in.
#
# Why: populstat has no 1950 row for US cities at all. Its anchors jump 1940 -> 1959,
#   the viewer needs a real point within 5 years to call a year measured, so 1946-1953
#   was unmeasured and ~91% of US cities dimmed at exactly 1950.
#
# unit check: a row is only here if the TARGET entry's own value agrees with the census
#   to within 10% -- on 1940 where the entry has one, else on 1959-vs-the-1960 census.
#   That is what proves the series is city proper and not the metro twin. 5 of the 100
#   could not be matched or verified and are omitted rather than guessed.
# merge_from: the co-located twin that currently outranks this entry in dedup. Folded
#   in via MERGE_INTO so the verified entry is the one drawn (see spec 3.1).
#
# key,population,unit_err,basis,merge_from
New York-New York,7891957,0.0334,1940,New York-United States
Chicago-Illinois,3620962,0.0120,1940,Chicago-United States
Philadelphia-Pennsylvania,2071605,0.0165,1940,Philadelphia-United States
Los Angeles-California,1970358,0.0398,1940,Los Angeles-United States
Detroit-Michigan,1849568,0.0484,1940,Detroit-United States
Baltimore-Maryland,949708,0.0078,1940,Baltimore-United States
Cleveland-Ohio,914808,0.0507,1940,
Saint Louis-Missouri,856796,0.0126,1940,Saint Louis-United States
Washington-United States,802178,0.0107,1960,
Boston-Massachusetts,801444,0.0253,1940,Boston-United States
San Francisco-United States,775357,0.0705,1940,San Francisco-California
Pittsburgh-Pennsylvania,676806,0.0639,1940,Pittsburgh-United States
Milwaukee-Wisconsin,637392,0.0045,1940,
Houston-United States,596163,0.0251,1960,
Buffalo-New York,580132,0.0183,1940,
New Orleans-Louisiana,570445,0.0289,1940,New Orleans-United States
Minneapolis-Minnesota,521718,0.0254,1940,Minneapolis-United States
Cincinnati-Ohio,503998,0.0263,1940,Cincinnati-United States
Seattle-United States,467591,0.0101,1960,
Kansas City-Missouri,456622,0.0267,1940,
Newark-New Jersey,438776,0.0111,1940,Newark-United States
Dallas-United States,434462,0.0238,1960,
Indianapolis-Indiana,427173,0.0054,1940,
Denver-United States,415786,0.0124,1960,Denver-Colorado
San Antonio-Texas,408442,0.0227,1960,
Memphis-Tennessee,396000,0.0784,1940,
Oakland-California,384575,0.0694,1940,Oakland-United States
Columbus-Ohio,375901,0.0996,1940,
Portland-Oregon,373628,0.0653,1940,Portland-United States
Louisville-Kentucky,369129,0.0310,1940,
San Diego-California,334387,0.0269,1960,
Rochester-New York,332488,0.0032,1940,
Atlanta-Georgia,331314,0.0255,1940,
Birmingham-Alabama,326037,0.0498,1940,
Saint Paul-Minnesota,311349,0.0036,1940,Saint Paul-United States
Toledo-United States,303616,0.0007,1940,Toledo-Ohio
