# US Metropolitan Statistical Area population, annual 2000-2024.
# Generated by tools/make_us_metro.py -- see that file for sourcing and
# matching rules. Loaded by build.py as load_us_metro().
# Source: US Census Bureau, Population Estimates Program (public domain),
#   cbsa-est2009-alldata / cbsa-est2019-alldata / cbsa-est2024-alldata.
# key,cbsa,title,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
Abilene-Texas,10180,"Abilene, TX",160108,158291,158118,158053,158571,158713,158704,159005,159059,160070,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,176926,177918,180072,182838,184278
Abilene-United States,10180,"Abilene, TX",160108,158291,158118,158053,158571,158713,158704,159005,159059,160070,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,176926,177918,180072,182838,184278
Akron-Ohio,10420,"Akron, OH",695971,698288,699606,700286,700587,700649,700013,700559,699954,699935,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479,701689,696602,698506,700094,702209
Akron-United States,10420,"Akron, OH",695971,698288,699606,700286,700587,700649,700013,700559,699954,699935,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479,701689,696602,698506,700094,702209
Albany-Georgia,10500,"Albany, GA",157757,159833,160054,161185,161489,162031,162975,163646,164488,165440,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726,148253,144976,145873,145538,145451
Albany-New York,10580,"Albany-Schenectady-Troy, NY",827227,829490,833752,839741,843928,846357,850541,852019,854301,857592,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381,899778,905557,904216,907223,913485
Albany-Oregon,10540,"Albany, OR",,,,,,,,,,,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749,128967,130062,130516,131509,132474
Albany-United States,10580,"Albany-Schenectady-Troy, NY",827227,829490,833752,839741,843928,846357,850541,852019,854301,857592,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381,899778,905557,904216,907223,913485
Albuquerque-New Mexico,10740,"Albuquerque, NM",731712,739531,753670,766154,780865,798722,817973,834685,846582,857903,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018,917747,919682,920200,923477,926303
Albuquerque-United States,10740,"Albuquerque, NM",731712,739531,753670,766154,780865,798722,817973,834685,846582,857903,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018,917747,919682,920200,923477,926303
Alexandria-Louisiana,10780,"Alexandria, LA",145079,144918,145137,145545,146360,147128,152167,152717,153451,154101,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037,151811,150910,148999,148382,148008
Alexandria-United States,10780,"Alexandria, LA",145079,144918,145137,145545,146360,147128,152167,152717,153451,154101,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037,151811,150910,148999,148382,148008
Allentown-Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",741937,748739,756321,765926,776048,786034,796488,805352,811669,816012,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052,861575,870124,871414,878487,886418
Allentown-United States,10900,"Allentown-Bethlehem-Easton, PA-NJ",741937,748739,756321,765926,776048,786034,796488,805352,811669,816012,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052,861575,870124,871414,878487,886418
Altoona-Pennsylvania,11020,"Altoona, PA",129030,128336,127346,126844,126532,125882,126008,125987,125923,126122,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829,122664,122160,120796,120494,120269
Amarillo-Texas,11100,"Amarillo, TX",227117,228333,230227,232791,235113,237767,239878,241848,243682,246474,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053,269051,269858,270751,272981,274650
Amarillo-United States,11100,"Amarillo, TX",227117,228333,230227,232791,235113,237767,239878,241848,243682,246474,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053,269051,269858,270751,272981,274650
Ames-Iowa,11180,"Ames, IA",80127,80057,81612,81453,81897,81757,83476,85232,86219,87214,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351,125353,126453,126565,128068,129227
Anchorage-Alaska,11260,"Anchorage, AK",320434,325839,332703,339131,346057,351851,359341,360908,365790,374553,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317,398427,399924,401025,403228,407213
