Title,Note,URL,Tags,Comment
,,,,
Uptown Veg,,https://www.google.com/maps/place/Uptown+Veg/data=!4m2!3m1!1s0x89c2f60b81f16a4b:0xd5134d0ea6764ac7,,
Lotus,,https://www.google.com/maps/place/Lotus/data=!4m2!3m1!1s0x89c25b007758b4d1:0x636b3cb30023bd51,,
Art of Play,,https://www.google.com/maps/place/Art+of+Play/data=!4m2!3m1!1s0x89c25ba01acadf97:0x209a0f3fb7719f53,,
H Mart Woodside,,https://www.google.com/maps/place/H+Mart+Woodside/data=!4m2!3m1!1s0x89c25f514adb538f:0xc21b019182f5813e,,
SupperBowl X Dim Sum Bloom,,https://www.google.com/maps/place/SupperBowl+X+Dim+Sum+Bloom/data=!4m2!3m1!1s0x89c259422d3f1de1:0x744577bbf33d4510,,
Jamaican Flavors,,https://www.google.com/maps/place/Jamaican+Flavors/data=!4m2!3m1!1s0x89c25b0076b5d2d7:0xe9993edec322056f,,
Ace's Pizza Bushwick,,https://www.google.com/maps/place/Ace's+Pizza+Bushwick/data=!4m2!3m1!1s0x89c25f1723f91fa3:0x55b4a9238c27c160,,
Bites of Xi'an 84 西府小吃,,https://www.google.com/maps/place/Bites+of+Xi'an+84+%E8%A5%BF%E5%BA%9C%E5%B0%8F%E5%90%83/data=!4m2!3m1!1s0x89c259da7deda495:0xe5ab76477e7ab004,,
Banh Mi Place,,https://www.google.com/maps/place/Banh+Mi+Place/data=!4m2!3m1!1s0x89c25ba09d46e541:0x97380a83030786b5,,
Unnameable Books,,https://www.google.com/maps/place/Unnameable+Books/data=!4m2!3m1!1s0x89c25ba67aea6cc5:0x14e902e24f9afb45,,
Chihiro Tea Downtown Brooklyn,,https://www.google.com/maps/place/Chihiro+Tea+Downtown+Brooklyn/data=!4m2!3m1!1s0x89c25be9b116679b:0xe6d948963ddfd920,,
Trader Joe's,,https://www.google.com/maps/place/Trader+Joe's/data=!4m2!3m1!1s0x89c2599f28229a6b:0xd6b212541efb45e0,,
New York Mart,,https://www.google.com/maps/place/New+York+Mart/data=!4m2!3m1!1s0x89c259883ec8633d:0xf4f49e325710c54f,,
Dialogue Coffee & Flowers,,https://www.google.com/maps/place/Dialogue+Coffee+%26+Flowers/data=!4m2!3m1!1s0x89c259a845f25f8f:0x4ce01082a7ada2af,,
Ali's Trinbago Roti Shop,,https://www.google.com/maps/place/Ali's+Trinbago+Roti+Shop/data=!4m2!3m1!1s0x89c25b9a883c4187:0x55d6cd2d2eac0feb,,
SAA,,https://www.google.com/maps/place/SAA/data=!4m2!3m1!1s0x89c25f3b75dccec3:0xa875b7da5b756cf,,
Pioneer Works,,https://www.google.com/maps/place/Pioneer+Works/data=!4m2!3m1!1s0x89c25a8a1abfdfb9:0xc48631e0fdda4d1c,,
Kitaro,,https://www.google.com/maps/place/Kitaro/data=!4m2!3m1!1s0x89c25b6abe07ab25:0x1da4a8707039e9a0,,
