Title,Note,URL,Tags,Comment
,,,,
Chipotle Mexican Grill,,https://www.google.com/maps/place/Chipotle+Mexican+Grill/data=!4m2!3m1!1s0x89c2599c78b66abf:0x63a41e63bcc51490,,
Courant Institute of Mathematical Sciences,,https://www.google.com/maps/place/Courant+Institute+of+Mathematical+Sciences/data=!4m2!3m1!1s0x89c259906c2310ab:0xec1b39d8073fd2f8,,
Washington Square Park,,https://www.google.com/maps/place/Washington+Square+Park/data=!4m2!3m1!1s0x89c25990e23d7e8d:0xfa615edfd1b67e18,,
Ramen Takumi,,https://www.google.com/maps/place/Ramen+Takumi/data=!4m2!3m1!1s0x89c25999b810d1a7:0xbfb6f9611d3ee816,,
The Uncommons,,https://www.google.com/maps/place/The+Uncommons/data=!4m2!3m1!1s0x89c25991bc886989:0xee1e9d3564f4da55,,
Débutea,,https://www.google.com/maps/place/D%C3%A9butea/data=!4m2!3m1!1s0x89c2599195abffff:0x3683170eb47ebccb,,
Caffe Reggio,,https://www.google.com/maps/place/Caffe+Reggio/data=!4m2!3m1!1s0x89c25991817682af:0xc21f1f85a7b96c03,,
Spicy Moon West Village,,https://www.google.com/maps/place/Spicy+Moon+West+Village/data=!4m2!3m1!1s0x89c2596f0df71365:0x12678cf6f4c9d9e8,,
Pommes Frites,,https://www.google.com/maps/place/Pommes+Frites/data=!4m2!3m1!1s0x89c259918471410d:0xcbc1143f2d23fecb,,
Christopher Park,,https://www.google.com/maps/place/Christopher+Park/data=!4m2!3m1!1s0x89c2599473de54b7:0xc11ccb8d995afc5a,,
Fay Da Bakery,,https://www.google.com/maps/place/Fay+Da+Bakery/data=!4m2!3m1!1s0x89c25993c8b19471:0x8eb2bf379ed2fd13,,
Marie Blachère Bakery & Café,,https://www.google.com/maps/place/Marie+Blach%C3%A8re+Bakery+%26+Caf%C3%A9/data=!4m2!3m1!1s0x89c259adb6595055:0x53ab54e6eb47c720,,
Gandhi Cafe,,https://www.google.com/maps/place/Gandhi+Cafe/data=!4m2!3m1!1s0x89c25993a1af253d:0x245d8540ac506de1,,
Chobani SoHo,,https://www.google.com/maps/place/Chobani+SoHo/data=!4m2!3m1!1s0x89c2598dd3b24ab3:0xfc70a6fdec5ac63e,,
UNIQLO Soho Store,,https://www.google.com/maps/place/UNIQLO+Soho+Store/data=!4m2!3m1!1s0x89c2598edb6242d3:0x4ae291a9ff31e800,,
Chipotle Mexican Grill,,https://www.google.com/maps/place/Chipotle+Mexican+Grill/data=!4m2!3m1!1s0x89c25a13ee0dfe43:0x8036e2d8fcf9ecc4,,
REI,,https://www.google.com/maps/place/REI/data=!4m2!3m1!1s0x89c2598f77de3dfd:0x87e562609b1ec683,,
SPABLIC AKASAKA -SAUNA ONSEN,,https://www.google.com/maps/place/SPABLIC+AKASAKA+-SAUNA+ONSEN/data=!4m2!3m1!1s0x60188daeb7e5d353:0x3badb2e21b775ff0,,
Ochazuke and Onigiri Yamamotoyama,,https://www.google.com/maps/place/Ochazuke+and+Onigiri+Yamamotoyama/data=!4m2!3m1!1s0x60188d003072a3bb:0x7bd31568151cd52d,,
Tsukishima Monja Street,,https://www.google.com/maps/place/Tsukishima+Monja+Street/data=!4m2!3m1!1s0x601889703feec367:0xc190fce75167c01,,
Matsumoto Kiyoshi,,https://www.google.com/maps/place/Matsumoto+Kiyoshi/data=!4m2!3m1!1s0x60188d721c018fdd:0x70185062e534027,,
MUJI - Ginza Flagship Store,,https://www.google.com/maps/place/MUJI+-+Ginza+Flagship+Store/data=!4m2!3m1!1s0x60188baa38aecf7d:0xab5a3452172b5f9,,
