name_cn,name,pop_2010
北京市,Beijing Municipality,19612368
天津市,Tianjin Municipality,12938224
河北省,Hebei Province,71854202
山西省,Shanxi Province,35712111
内蒙古自治区,Nei Mongol Autonomous Region,24706321
辽宁省,Liaoning Province,43746323
吉林省,Jilin Province,27462297
黑龙江省,Heilongjiang Province,38312224
上海市,Shanghai Municipality,23019148
江苏省,Jiangsu Province,78659903
浙江省,Zhejiang Province,54426891
安徽省,Anhui Province,59500510
福建省,Fujian Province,36894216
江西省,Jiangxi Province,44567475
山东省,Shandong Province,95793065
河南省,Henan Province,94023567
湖北省,Hubei Province,57237740
湖南省,Hunan Province,65683722
广东省,Guangdong Province,104303132
广西壮族自治区,Guangxi Zhuangzu Autonomous Region,46026629
海南省,Hainan Province,8671518
重庆市,Chongqing Municipality,28846170
四川省,Sichuan Province,80418200
贵州省,Guizhou Province,34746468
云南省,Yunnan Province,45966239
西藏自治区,Xizang Autonomous Region,3002166
陕西省,Shaanxi Province,37327378
甘肃省,Gansu Province,25575254
青海省,Qinghai Province,5626722
宁夏回族自治区,Ningxia Huizu Autonomous Region,6301350
新疆维吾尔自治区,Xinjiang Uygur Autonomous Region,21813334
