# Seed city roster. Hand-maintained; safe to edit, add, or comment out with '#'.
#
# pop     is the denominator for the "10k to 10% of the city" band, so it should be
#         the CITY PROPER / administrative figure, not the metro area. Approximate is
#         fine — the band rule is a ratio test with a 70% threshold, not a precise cut.
# radiusKm is the half-width of the Overpass query box around lat/lon. Wide enough to
#         cover the built-up area; overlap with neighbouring cities is fine because
#         each candidate is assigned to its nearest seed city.
#
qid,name,country,lat,lon,pop,radiusKm
Q84,London,GB,51.5074,-0.1278,8900000,25
Q90,Paris,FR,48.8566,2.3522,2100000,15
Q64,Berlin,DE,52.5200,13.4050,3700000,20
Q1055,Hamburg,DE,53.5511,9.9937,1900000,18
Q2807,Madrid,ES,40.4168,-3.7038,3300000,15
Q1492,Barcelona,ES,41.3874,2.1686,1620000,12
Q220,Rome,IT,41.9028,12.4964,2760000,18
Q490,Milan,IT,45.4642,9.1900,1370000,12
Q727,Amsterdam,NL,52.3676,4.9041,920000,12
Q1741,Vienna,AT,48.2082,16.3738,1980000,15
Q1754,Stockholm,SE,59.3293,18.0686,980000,18
Q1748,Copenhagen,DK,55.6761,12.5683,660000,15
Q270,Warsaw,PL,52.2297,21.0122,1860000,15
Q1085,Prague,CZ,50.0755,14.4378,1350000,15
Q649,Moscow,RU,55.7558,37.6173,13000000,30
Q406,Istanbul,TR,41.0082,28.9784,15900000,35
Q597,Lisbon,PT,38.7223,-9.1393,545000,12
Q1524,Athens,GR,37.9838,23.7275,640000,15
Q1490,Tokyo,JP,35.6895,139.6917,13960000,30
Q35765,Osaka,JP,34.6937,135.5023,2750000,18
Q8684,Seoul,KR,37.5665,126.9780,9400000,22
Q956,Beijing,CN,39.9042,116.4074,21900000,30
Q8686,Shanghai,CN,31.2304,121.4737,24900000,35
Q8646,Hong Kong,HK,22.3193,114.1694,7400000,20
Q1867,Taipei,TW,25.0330,121.5654,2500000,15
Q1861,Bangkok,TH,13.7563,100.5018,8200000,25
Q334,Singapore,SG,1.3521,103.8198,5900000,20
Q1865,Kuala Lumpur,MY,3.1390,101.6869,1800000,20
Q1156,Mumbai,IN,19.0760,72.8777,12400000,25
Q1353,Delhi,IN,28.6139,77.2090,16800000,30
Q3630,Jakarta,ID,-6.2088,106.8456,10600000,25
Q1461,Manila,PH,14.5995,120.9842,1850000,18
Q1858,Hanoi,VN,21.0285,105.8542,8400000,18
Q60,New York,US,40.7128,-74.0060,8300000,22
Q1297,Chicago,US,41.8781,-87.6298,2700000,22
Q65,Los Angeles,US,34.0522,-118.2437,3900000,35
