,route,route_id,route_dir,route_shor,route_long,ridership,color
24,M15,M15,M15_0,M15,East Harlem - South Ferry,32298,#3672fb
25,M15,M15,M15_1,M15,East Harlem - South Ferry,32298,#3672fb
22,M15,M15+,M15+_0,M15-SBS,East Harlem - South Ferry,32298,#3672fb
23,M15,M15+,M15+_1,M15-SBS,East Harlem - South Ferry,32298,#3672fb
407,Q58,Q58,Q58_1,Q58,Ridgewood - Flushing,21774,#7d88b4
406,Q58,Q58,Q58_0,Q58,Ridgewood - Flushing,21774,#7d88b4
379,B6,B6,B6_0,B6,Bath Beach - East New York,19045,#9c46eb
380,B6,B6,B6_1,B6,Bath Beach - East New York,19045,#9c46eb
207,BX12,BX12,BX12_0,Bx12,Pelham Pkwy - Fordham Rd,18388,#ee35fc
208,BX12,BX12,BX12_1,Bx12,Pelham Pkwy - Fordham Rd,18388,#ee35fc
205,BX12,BX12+,BX12+_0,Bx12-SBS,Pelham Pkwy - Fordham Rd,18388,#ee35fc
206,BX12,BX12+,BX12+_1,Bx12-SBS,Pelham Pkwy - Fordham Rd,18388,#ee35fc
386,B82,B82+,B82+_0,B82-SBS,Coney Island -spring Creek Towers,18080,#fe8433
387,B82,B82+,B82+_1,B82-SBS,Coney Island -spring Creek Towers,18080,#fe8433
389,B82,B82,B82_1,B82,Coney Island - Spring Creek Towers,18080,#fe8433
388,B82,B82,B82_0,B82,Coney Island - Spring Creek Towers,18080,#fe8433
160,Q27,Q27,Q27_1,Q27,Cambria Heights - Flushing,17180,#3a92f7
159,Q27,Q27,Q27_0,Q27,Cambria Heights - Flushing,17180,#3a92f7
339,B44,B44,B44_0,B44,Sheepshead Bay - Williamsburg,17121,#f59a3c
340,B44,B44,B44_1,B44,Sheepshead Bay - Williamsburg,17121,#f59a3c
337,B44,B44+,B44+_0,B44-SBS,Sheepshead Bay - Williamsburg,17121,#f59a3c
338,B44,B44+,B44+_1,B44-SBS,Sheepshead Bay - Williamsburg,17121,#f59a3c
345,B46,B46,B46_0,B46,Kings Plaza - Williamsburg,17091,#fe3933
346,B46,B46,B46_1,B46,Kings Plaza - Williamsburg,17091,#fe3933
343,B46,B46+,B46+_0,B46-SBS,Kings Plaza - Williamsburg,17091,#fe3933
344,B46,B46+,B46+_1,B46-SBS,Kings Plaza - Williamsburg,17091,#fe3933
493,Q65,Q65,Q65_1,Q65,College Point Bl - 164 St,16031,#5cd59c
492,Q65,Q65,Q65_0,Q65,College Point Bl - 164 St,16031,#5cd59c
459,Q25,Q25,Q25_1,Q25,127 Street - Kissena Bl - Parsons Bl,15017,#e88f49
458,Q25,Q25,Q25_0,Q25,127 Street - Kissena Bl - Parsons Bl,15017,#e88f49
331,B41,B41,B41_0,B41,Kings Plaza - Downtown Brooklyn,14595,#7fcd64
332,B41,B41,B41_1,B41,Kings Plaza - Downtown Brooklyn,14595,#7fcd64
435,Q10,Q10,Q10_1,Q10,Kew Gardens - Jfk Airport,14434,#db4ce5
434,Q10,Q10,Q10_0,Q10,Kew Gardens - Jfk Airport,14434,#db4ce5
179,Q44,Q44+,Q44+_0,Q44-SBS,Bronx Zoo - Jamaica,14247,#48f938
180,Q44,Q44+,Q44+_1,Q44-SBS,Bronx Zoo - Jamaica,14247,#48f938
320,B35,B35,B35_1,B35,Brownsville - Sunset Park,14171,#af8482
319,B35,B35,B35_0,B35,Brownsville - Sunset Park,14171,#af8482
182,Q46,Q46,Q46_1,Q46,Glen Oaks - Kew Gardens,13841,#dbfe33
181,Q46,Q46,Q46_0,Q46,Glen Oaks - Kew Gardens,13841,#dbfe33
21,M14,M14D+,M14D+_1,M14D-SBS,Lower East Side - Chelsea Piers,13626,#d3fe33
20,M14,M14D+,M14D+_0,M14D-SBS,Lower East Side - Chelsea Piers,13626,#d3fe33
19,M14,M14A+,M14A+_1,M14A-SBS,Lower East Side - Abingdon Sq,13626,#d3fe33
18,M14,M14A+,M14A+_0,M14A-SBS,Lower East Side - Abingdon Sq,13626,#d3fe33
1,M101,M101,M101_1,M101,East Village - Harlem,13509,#39f8cb
0,M101,M101,M101_0,M101,East Village - Harlem,13509,#39f8cb
71,M86,M86+,M86+_1,M86-SBS,Yorkville - West Side,13016,#6dc499
70,M86,M86+,M86+_0,M86-SBS,Yorkville - West Side,13016,#6dc499
457,Q23,Q23,Q23_1,Q23,108 Street,12569,#7665cc
456,Q23,Q23,Q23_0,Q23,108 Street,12569,#7665cc
304,B1,B1,B1_1,B1,Bay Ridge - Manhattan Beach,11628,#6dc48f
303,B1,B1,B1_0,B1,Bay Ridge - Manhattan Beach,11628,#6dc48f
395,B8,B8,B8_1,B8,Dyker Heights - East Flatbush,11549,#b3887e
394,B8,B8,B8_0,B8,Dyker Heights - East Flatbush,11549,#b3887e
495,Q66,Q66,Q66_1,Q66,Northern Blvd/Queens Plaza S,11430,#937db4
494,Q66,Q66,Q66_0,Q66,Northern Blvd/Queens Plaza S,11430,#937db4
149,Q17,Q17,Q17_0,Q17,Flushing - Jamaica,11219,#7fef42
150,Q17,Q17,Q17_1,Q17,Flushing - Jamaica,11219,#7fef42
51,M4,M4,M4_1,M4,The Cloisters - 32 St,11166,#7d6dc4
50,M4,M4,M4_0,M4,The Cloisters - 32 St,11166,#7d6dc4
285,BX9,BX9,BX9_0,Bx9,Riverdale - West Farms Sq,10746,#64b2cd
286,BX9,BX9,BX9_1,Bx9,Riverdale - West Farms Sq,10746,#64b2cd
488,Q60,Q60,Q60_0,Q60,Queens Boulevard,10687,#dc7055
489,Q60,Q60,Q60_1,Q60,Queens Boulevard,10687,#dc7055
326,B38,B38,B38_1,B38,Ridgewood - Downtown Brooklyn,10583,#4be6b0
325,B38,B38,B38_0,B38,Ridgewood - Downtown Brooklyn,10583,#4be6b0
154,Q20,Q20A,Q20A_1,Q20A,College Point - Jamaica,10257,#39f87e
155,Q20,Q20B,Q20B_0,Q20B,College Point - Jamaica,10257,#39f87e
153,Q20,Q20A,Q20A_0,Q20A,College Point - Jamaica,10257,#39f87e
156,Q20,Q20B,Q20B_1,Q20B,College Point - Jamaica,10257,#39f87e
