,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022 - 2023 Change,,2023 Rank
1,Local Routes,,,,,,,,,,,
2,B100,,5019.8031496062995,5045.3569,2392.0,2764.7368,3325.7649,3517.0,,191.23509999999987,0.0575010879452122,27
3,B103,,13684.8031496063,13239.7791,8286.0,7703.2117,8011.4269,7445.0,,-566.4269000000004,-0.07070237388048818,9
4,Bx23,,3721.2244094488187,3793.3363,1723.0,1891.1163,2583.1031,2796.0,,212.8969000000002,0.08241904862411423,35
5,Q6,,10669.641732283464,10720.3641,5019.0,6254.7938,7246.4803,6794.0,,-452.48030000000017,-0.06244138964953788,13
6,Q7,,5039.366141732284,4908.0562,2061.0,2668.6178,2990.555,2826.0,,-164.55499999999984,-0.05502490340421756,34
7,Q8,,10175.708661417322,10097.5254,4938.0,6578.3698,7448.068,7214.0,,-234.0680000000002,-0.031426673333272495,11
8,Q9,,4644.822834645669,4579.3768,1981.0,2631.7205,2953.0062,3012.0,,58.99380000000019,0.019977540175838505,32
9,Q10,,22011.633858267716,21176.1198,12005.0,12218.2941,14430.2126,14434.0,,3.787399999999252,0.0002624632155453657,3
10,Q11,,4223.1614173228345,4238.5052,1475.0,2307.3323,2843.3339,2942.0,,98.66609999999991,0.03470084888728683,33
11,Q18,,7982.858267716535,8707.1627,5247.0,5363.7163,6139.6981,6896.0,,756.3019000000004,0.12318226200731278,12
12,Q19,,3741.5708661417325,3253.0304,2282.0,2258.4479,2740.7086,3065.0,,324.29140000000007,0.11832392542570927,31
13,Q21,,2420.3228346456694,2470.454,879.0,1362.097,1700.8122,1802.0,,101.18779999999992,0.0594938112508835,43
14,Q22,,6362.0905511811025,6046.0847,2346.0,3851.7832,3551.3619,3246.0,,-305.3618999999999,-0.08598445007815168,29
15,Q23,,16796.259842519685,16907.5216,10308.0,10466.2962,12054.7444,12569.0,,514.2556000000004,0.04266001691417036,4
16,Q25,,19733.834645669293,19780.636,10473.0,10765.723,14180.7334,15017.0,,836.2666000000008,0.05897202749753415,2
17,Q29,,4898.870078740158,5062.7594,3044.0,3254.4865,3942.9245,4262.0,,319.0754999999999,0.08092356320796909,23
18,Q33,,7137.736220472441,7321.9468,4068.0,4321.3828,4949.1764,5500.0,,550.8235999999997,0.11129601280730259,18
19,Q34,,6722.669291338582,6839.2544,3409.0,3323.549,4459.0812,4773.0,,313.9188000000004,0.0703998841734482,22
20,Q35,,3999.2086614173227,3953.9393,1402.0,2224.4956,2439.879,2409.0,,-30.878999999999905,-0.01265595547975941,40
21,Q37,,7546.574803149606,7876.2363,3496.0,4366.2911,5394.1801,5286.0,,-108.18009999999958,-0.02005496627745143,19
22,Q38,,8080.905511811024,8400.2955,4629.0,4701.4938,5550.9518,5900.0,,349.0482000000002,0.0628807837963933,16
23,Q39,,5252.488188976378,5188.673,2811.0,2872.5406,3681.7256,3999.0,,317.2743999999998,0.08617546076763563,26
24,Q40,,4673.173228346457,4619.9858,2102.0,2654.429,3169.6318,3076.0,,-93.63180000000011,-0.0295402765709254,30
25,Q41,,7086.740157480315,7000.2823,2531.0,3975.4619,4828.9396,4778.0,,-50.9395999999997,-0.010548816970085877,21
26,Q47,,8125.736220472441,8469.0564,4308.0,4771.0563,5995.018,6699.0,,703.982,0.1174278375811382,15
27,Q49,,8461.110236220473,8458.3444,4635.0,5046.1163,6045.4686,6720.0,,674.5313999999998,0.1115763631623196,14
28,Q50,,4543.503937007874,4644.6319,2575.0,3041.0078,2947.4181,2757.0,,-190.41809999999987,-0.06460505213020164,36
29,Q52/53Lcl/SBS,,21623.27559055118,20363.8457,12123.0,12293.391,13050.3372,12458.0,,-592.3371999999999,-0.04538865095378531,5
30,Q60,,14144.476377952757,13629.9619,9142.0,9022.8652,10439.2259,10687.0,,247.77410000000054,0.023734911225553663,7
31,Q64,,8575.633858267716,8352.2482,2942.0,4212.7888,5401.113,5815.0,,413.8869999999997,0.07662994645733198,17
32,Q65,,20363.0,20890.7467,12102.0,13141.2874,15258.5785,16031.0,,772.4215000000004,0.050622113980014614,1
33,Q66,,13998.681102362205,13427.5407,9625.0,8957.3424,10339.333,11430.0,,1090.6669999999995,0.10548717214156846,6
34,Q67,,2442.200787401575,2571.628,1517.0,1534.4039,1820.1127,2002.0,,181.8873000000001,0.0999318888330377,42
35,Q69,,9790.240157480315,9735.1751,5549.0,5400.4549,6697.501,7312.0,,614.4989999999998,0.0917504902201582,10
36,Q70SBS,1,5089.782380981026,5829.3128,1597.0,2174.3812,1015.832,0.0,,-1015.832,-1.0,46
37,Q72,,6375.606299212598,6460.8798,4241.0,4272.5189,4984.1161,5228.0,,243.8838999999998,0.04893222691983435,20
