,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022-2023 Change,,2023 Rank
1,,,,,,,,,,,,
2,B1,,18180.0,18838.1155,9918.0,9696.1834,11741.4416,11628.0,,-113.44160000000011,-0.00966164154834276,17
3,B2,,2088.0,2173.5107,969.0,1068.9096,1416.3943,1557.0,,140.60570000000007,0.09927016791863684,160
4,B3,,11309.0,11553.7325,7062.0,7163.3304,7963.8109,7979.0,,15.189099999999598,0.0019072652767282052,42
5,B4,,6192.0,6069.2833,2159.0,3261.7064,4175.949,4588.0,,412.0510000000004,0.09867242152622085,97
6,B6,,35963.0,34061.8419,20631.0,19025.8037,20242.2717,19045.0,,-1197.2717000000011,-0.0591471015577763,3
7,B7,,5091.0,4919.9199,3030.0,2952.5135,3128.633,3004.0,,-124.63299999999981,-0.039836247971558124,126
8,B8,,18388.0,18036.1702,6767.0,10458.1402,11531.5905,11549.0,,17.409499999999753,0.001509722357900218,18
9,B9,,14416.0,13857.4741,4928.0,7794.57,8998.3479,9152.0,,153.65209999999934,0.017075590064705024,29
10,B11,,10377.0,10488.1146,4146.0,6418.1815,7083.4689,7277.0,,193.53110000000015,0.027321514745409576,52
11,B12,,12124.0,11542.1638,7956.0,7138.2612,7088.5487,6222.0,,-866.5487000000003,-0.12224627870582314,65
12,B13,,6084.0,6258.7074,4220.0,3979.4965,4360.4218,4525.0,,164.57819999999992,0.037743642140308516,99
13,B14,,5900.0,5442.0778,3601.0,3115.4259,3155.1326,2875.0,,-280.1325999999999,-0.08878631598557853,131
14,B15,,17977.0,16510.2057,11388.0,10073.914,10126.9089,8630.0,,-1496.9089000000004,-0.1478149862689098,35
15,B16,,6184.0,6149.5993,2154.0,3155.3344,4127.0384,3887.0,,-240.03840000000037,-0.05816238588911611,108
16,B17,,9382.0,9527.1436,6154.0,5509.965,5742.8588,5419.0,,-323.8588,-0.056393307110388986,78
