# Stats NZ religious affiliation: level-3 category -> the level-1 column published at SA2.
# GENERATED by taxonomy/hierarchy/make_nz.py from the level-3 codes in nz.csv's `note`.
# Do not hand-edit; change the GROUP table in that script instead.
#
# The 2018 national table has 166 level-3 categories; the 2023 SA2 table has 13 level-1
# columns and no code of any kind, so this is the only bridge between them. Derived from
# the first two digits of the level-3 code, which is what Stats NZ nests on.
source_category,parent
Buddhism nec,Buddhism
Buddhism nfd,Buddhism
Mahayana Buddhism,Buddhism
Nichiren Buddhism,Buddhism
Theravada Buddhism,Buddhism
Vajrayana Buddhism,Buddhism
Zen Buddhism,Buddhism
ACTS Churches,Christian
Adventist nec,Christian
Adventist nfd,Christian
Anglican,Christian
Arise Church,Christian
Assemblies of God,Christian
Associated Churches of Christ,Christian
Assyrian Orthodox,Christian
Baptist nec,Christian
Baptist nfd,Christian
Bible Baptist,Christian
Born Again,Christian
Brethren nec,Christian
Brethren nfd,Christian
Catholicism nec,Christian
Catholicism nfd,Christian
Chaldean Catholic,Christian
Chinese Christian,Christian
Chinese Presbyterian,Christian
Christadelphian,Christian
Christian Fellowship,Christian
Christian Outreach,Christian
Christian Revival Crusade,Christian
Christian Science,Christian
Christian and Missionary Alliance,Christian
Christian nec,Christian
Christian nfd,Christian
Church of Christ nfd,Christian
Church of God,Christian
City Impact Church,Christian
Commonwealth Covenant Church,Christian
Congregational,Christian
Cook Island Congregational,Christian
Coptic Orthodox,Christian
Destiny Church,Christian
Ecumenical,Christian
Elim,Christian
Equippers Church,Christian
Evangelical,Christian
Full Gospel,Christian
Fundamentalist,Christian
Greek Orthodox,Christian
Independent Baptist,Christian
Independent Evangelical Churches,Christian
Independent Pentecostal,Christian
Jehovah's Witnesses,Christian
Jesus Follower,Christian
Korean Christian,Christian
Korean Presbyterian,Christian
Latter-day Saints,Christian
Liberal Catholic,Christian
Lutheran,Christian
Maronite Catholic,Christian
Melkite Catholic,Christian
Methodist nec,Christian
Methodist nfd,Christian
Metropolitan Community Church,Christian
Nazarene,Christian
New Life,Christian
Open Brethren,Christian
Orthodox nec,Christian
Orthodox nfd,Christian
Other Church of Christ and Churches of Christ nec,Christian
Pentecostal nec,Christian
Pentecostal nfd,Christian
Plymouth or Exclusive Brethren,Christian
Presbyterian,Christian
Protestant nfd,Christian
Reformed,Christian
Reformed Baptist,Christian
Religious Society of Friends (Quaker),Christian
Revival Centres,Christian
Roman Catholic,Christian
Russian Orthodox,Christian
Salvation Army,Christian
Samoan Congregational,Christian
Serbian Orthodox,Christian
Seventh Day Adventist,Christian
Syro-Malabar Catholic,Christian
Tongan Methodist,Christian
Ukrainian Catholic,Christian
Unitarian,Christian
United Pentecostal,Christian
Uniting/Union Church,Christian
Vineyard Christian Fellowship,Christian
Wesleyan Methodist,Christian
Worldwide Church of God,Christian
Arya Samaj,Hinduism
Hare Krishna,Hinduism
Hinduism nec,Hinduism
Hinduism nfd,Hinduism
Yoga,Hinduism
Ahmadiyya Muslim,Islam
Islam nec,Islam
Islam nfd,Islam
Shi'a,Islam
Sufi,Islam
Sunni,Islam
Conservative Judaism,Judaism
Judaism nfd,Judaism
Orthodox Judaism,Judaism
Reformed Judaism,Judaism
"Māori Religions, Beliefs and Philosophies nec","Māori Religions, Beliefs and Philosophies"
"Māori Religions, Beliefs and Philosophies nfd","Māori Religions, Beliefs and Philosophies"
Paimarire,"Māori Religions, Beliefs and Philosophies"
Ratana,"Māori Religions, Beliefs and Philosophies"
Ringatū,"Māori Religions, Beliefs and Philosophies"
No Religion,No Religion
Object to answering,Object to answering
Agnosticism,"Other Religions, Beliefs and Philosophies"
Atheism,"Other Religions, Beliefs and Philosophies"
Baha'i,"Other Religions, Beliefs and Philosophies"
Cao Dai,"Other Religions, Beliefs and Philosophies"
Chinese Religions nec,"Other Religions, Beliefs and Philosophies"
