# England and Wales (ONS): TS031 MSOA category -> the TS030 Output Area column it belongs to.
# GENERATED by taxonomy/hierarchy/make_uk.py — the parent is the text before the colon.
# Do not hand-edit.
#
# ONS publishes NO Christian denominations at any geography, so `Christian` is a leaf here
# and 27.5M people stay one undifferentiated node (spec §3.11).
source_category,parent
Buddhist,Buddhist
Christian,Christian
Hindu,Hindu
Jewish,Jewish
Muslim,Muslim
No religion,No religion
No religion: Agnostic,No religion
No religion: Atheist,No religion
No religion: Free Thinker,No religion
No religion: Humanist,No religion
No religion: No religion,No religion
No religion: Realist,No religion
Other religion,Other religion
Other religion: Alevi,Other religion
Other religion: Animism,Other religion
Other religion: Baha'i,Other religion
Other religion: Believe in God,Other religion
Other religion: Brahma Kumari,Other religion
Other religion: Chinese Religion,Other religion
Other religion: Church of All Religion,Other religion
Other religion: Confucianist,Other religion
Other religion: Deist,Other religion
Other religion: Druid,Other religion
Other religion: Druze,Other religion
Other religion: Eckankar,Other religion
Other religion: Heathen,Other religion
Other religion: Jain,Other religion
Other religion: Mixed Religion,Other religion
Other religion: Mysticism,Other religion
Other religion: Native American Church,Other religion
Other religion: New Age,Other religion
Other religion: Occult,Other religion
Other religion: Other religions,Other religion
Other religion: Own Belief System,Other religion
Other religion: Pagan,Other religion
Other religion: Pantheism,Other religion
Other religion: Rastafarian,Other religion
Other religion: Ravidassia,Other religion
Other religion: Reconstructionist,Other religion
Other religion: Satanism,Other religion
Other religion: Scientology,Other religion
Other religion: Shamanism,Other religion
Other religion: Shintoism,Other religion
Other religion: Spiritual,Other religion
Other religion: Spiritualist,Other religion
Other religion: Taoist,Other religion
Other religion: Theism,Other religion
Other religion: Thelemite,Other religion
Other religion: Traditional African Religion,Other religion
Other religion: Unification Church,Other religion
Other religion: Universalist,Other religion
Other religion: Valmiki,Other religion
Other religion: Vodun,Other religion
Other religion: Wicca,Other religion
Other religion: Witchcraft,Other religion
Other religion: Yazidi,Other religion
Other religion: Zoroastrian,Other religion
Religion not stated,Religion not stated
Sikh,Sikh
Total: All Usual Residents,Total
