# Northern Ireland (NISRA): MS-B20 LGD category -> the MS-B19 Data Zone column.
# GENERATED by taxonomy/hierarchy/make_uk.py — four denominations matched by name, the rest
# of the Christian branch to NISRA's own residual column. Do not hand-edit.
#
# This is the CURRENT-religion question. NISRA asks a second one, religion brought up in
# (MS-B23/B24), which is a different variable and is not allocated or drawn (uk.md §1).
source_category,parent
Christian: Baptist,Other Christian (including Christian related)
Christian: Brethren,Other Christian (including Christian related)
Christian: Catholic,Catholic
Christian: Christian,Other Christian (including Christian related)
Christian: Christian Fellowship Church,Other Christian (including Christian related)
Christian: Church of England,Other Christian (including Christian related)
Christian: Church of Ireland,Church of Ireland
Christian: Church of Jesus Christ of Latter Day Saints (Mormons),Other Christian (including Christian related)
Christian: Congregational Church,Other Christian (including Christian related)
Christian: Evangelical,Other Christian (including Christian related)
Christian: Free Presbyterian,Other Christian (including Christian related)
Christian: Independent Methodist,Other Christian (including Christian related)
Christian: Jehovah’s Witness,Other Christian (including Christian related)
Christian: Methodist Church in Ireland,Methodist Church in Ireland
Christian: Mixed Catholic / Protestant,Other Christian (including Christian related)
Christian: Non Denominational,Other Christian (including Christian related)
Christian: Non-Subscribing Presbyterian,Other Christian (including Christian related)
Christian: Orthodox Church,Other Christian (including Christian related)
Christian: Other Christian denominations,Other Christian (including Christian related)
Christian: Pentecostal,Other Christian (including Christian related)
Christian: Presbyterian,Other Christian (including Christian related)
Christian: Presbyterian Church in Ireland,Presbyterian Church in Ireland
Christian: Protestant,Other Christian (including Christian related)
Christian: Protestant (Mixed),Other Christian (including Christian related)
Christian: Reformed Presbyterian,Other Christian (including Christian related)
Christian: Romanian Orthodox Church,Other Christian (including Christian related)
No religion,No religion
Other Religions: Buddhist,Other religions
Other Religions: Hindu,Other religions
Other Religions: Muslim,Other religions
Other Religions: Other Religions,Other religions
Religion not stated,Religion not stated
