prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
Hiroshima,"JR西日本宮島フェリー",宮島口～宮島,宮島口 - 宮島,ferry,2015,CY,2133818,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2015,"arrivals at Miyajima only (来島者数); doubling gives both directions. CSV fetched as text; the four operator columns sum exactly to the city PDF total each year"
Hiroshima,"JR西日本宮島フェリー",宮島口～宮島,宮島口 - 宮島,ferry,2016,CY,2314645,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2016,arrivals only
Hiroshima,"JR西日本宮島フェリー",宮島口～宮島,宮島口 - 宮島,ferry,2017,CY,2415332,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2017,arrivals only
Hiroshima,"JR西日本宮島フェリー",宮島口～宮島,宮島口 - 宮島,ferry,2018,CY,2297566,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2018,arrivals only
Hiroshima,"JR西日本宮島フェリー",宮島口～宮島,宮島口 - 宮島,ferry,2019,CY,2544519,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2019,arrivals only; pre-COVID peak
Hiroshima,"JR西日本宮島フェリー",宮島口～宮島,宮島口 - 宮島,ferry,2020,CY,1073325,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2020,arrivals only
Hiroshima,"JR西日本宮島フェリー",宮島口～宮島,宮島口 - 宮島,ferry,2021,CY,913948,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2021,arrivals only
Hiroshima,"JR西日本宮島フェリー",宮島口～宮島,宮島口 - 宮島,ferry,2022,CY,1418784,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2022,arrivals only; last year of the per-operator series
Hiroshima,宮島松大汽船,宮島口～宮島,宮島口 - 宮島,ferry,2015,CY,1698114,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2015,arrivals only
Hiroshima,宮島松大汽船,宮島口～宮島,宮島口 - 宮島,ferry,2016,CY,1747035,,1.0,no,廿日市市オープンデータ I-11 船舶別宮島来島者数,https://www.city.hatsukaichi.hiroshima.jp/uploaded/attachment/63413.csv,CSV row 2016,arrivals only
