prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
北海道,ハートランドフェリー,稚内－鴛泊,稚内 - 鴛泊,ferry,2019,FY,171639,,,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),R1旅客数 大人・子ども合計；うち離島住民 33574；利礼航路
北海道,ハートランドフェリー,稚内－香深,稚内 - 香深,ferry,2019,FY,149903,,,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),R1旅客数 大人・子ども合計；うち離島住民 25328
北海道,ハートランドフェリー,鴛泊－香深,鴛泊 - 香深,ferry,2019,FY,80608,,,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),R1旅客数 大人・子ども合計；うち離島住民 2976；inter-island leg Rishiri-Rebun
北海道,ハートランドフェリー,沓形－香深（夏季運航）,沓形 - 香深,ferry,2019,FY,16630,,,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),R1旅客数；summer only (6/1-9/30)；うち離島住民 563
北海道,ハートランドフェリー,江差－奥尻,江差 - 奥尻,ferry,2019,FY,54540,,,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),R1旅客数；うち離島住民 22500；the 2025 北海道の交通の状況 roster (R7.2) lists the operator as オクシリアイランドフェリー(株)
北海道,ハートランドフェリー,瀬棚－奥尻（夏季運航）,瀬棚 - 奥尻,ferry,2019,FY,0,,,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),suspended from FY2019 (運航休止 平成31年4月～)；zero as published
北海道,羽幌沿海フェリー,羽幌－焼尻,羽幌 - 焼尻,mixed,2019,FY,15125,,24,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),R1旅客数；うち離島住民 2528；the three Haboro legs sum to 37653.5 = the bureau sheet's R1 年計 which runs Oct-Sep；km from bureau sheet map；fleet ferry おろろん2 + highspeed さんらいなぁ2
北海道,羽幌沿海フェリー,羽幌－天売,羽幌 - 天売,mixed,2019,FY,18122,,35,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),R1旅客数；うち離島住民 3598；sails via 焼尻；Oct-Sep year (see 羽幌－焼尻 row)
北海道,羽幌沿海フェリー,焼尻－天売,焼尻 - 天売,mixed,2019,FY,4406.5,,11,no,北海道離島振興計画（令和5年4月）○航路別状況,https://www.mlit.go.jp/kokudoseisaku/chirit/content/001619191.pdf,p.8 (PDF p.12),R1旅客数 published with a .5；うち離島住民 169；inter-island leg
北海道,羽幌沿海フェリー,羽幌～天売航路（全区間）,羽幌 - 焼尻 - 天売,mixed,2018,FY,34793,,35,no,北海道離島航路確保対策協議会（羽幌航路）における地域公共交通確保維持改善事業の概要 3）利用実績,https://wwwtb.mlit.go.jp/hokkaido/content/000238003.pdf,p.3,H30 年計 all legs combined；operator year Oct 2017-Sep 2018 (monthly bars run 10月-9月) not Apr-Mar
北海道,羽幌沿海フェリー,羽幌～天売航路（全区間）,羽幌 - 焼尻 - 天売,mixed,2019,FY,37653,,35,no,北海道離島航路確保対策協議会（羽幌航路）における地域公共交通確保維持改善事業の概要 3）利用実績,https://wwwtb.mlit.go.jp/hokkaido/content/000238003.pdf,p.3,R1 年計 all legs combined；operator year Oct 2018-Sep 2019；matches the island plan's three legs
北海道,羽幌沿海フェリー,羽幌沿海フェリー（全航路）,羽幌 - 焼尻 - 天売,mixed,2015,FY,40000,,35,no,北海道運輸局管内における離島航路の在り方に関する調査等業務 報告書（令和6年1月）図5 羽幌沿海フェリー利用者数の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000318906.pdf,p.4 (PDF p.6),bar label in 千人 so rounded to thousands；chart source 羽幌町「商工観光概要」各年版；2018 and 2019 bars match the bureau's Oct-Sep 年計
北海道,羽幌沿海フェリー,羽幌沿海フェリー（全航路）,羽幌 - 焼尻 - 天売,mixed,2016,FY,39000,,35,no,北海道運輸局管内における離島航路の在り方に関する調査等業務 報告書（令和6年1月）図5 羽幌沿海フェリー利用者数の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000318906.pdf,p.4 (PDF p.6),rounded to thousands；probably Oct-Sep year
北海道,羽幌沿海フェリー,羽幌沿海フェリー（全航路）,羽幌 - 焼尻 - 天売,mixed,2017,FY,40000,,35,no,北海道運輸局管内における離島航路の在り方に関する調査等業務 報告書（令和6年1月）図5 羽幌沿海フェリー利用者数の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000318906.pdf,p.4 (PDF p.6),rounded to thousands；probably Oct-Sep year
北海道,羽幌沿海フェリー,羽幌沿海フェリー（全航路）,羽幌 - 焼尻 - 天売,mixed,2018,FY,35000,,35,no,北海道運輸局管内における離島航路の在り方に関する調査等業務 報告書（令和6年1月）図5 羽幌沿海フェリー利用者数の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000318906.pdf,p.4 (PDF p.6),rounded to thousands；probably Oct-Sep year
北海道,羽幌沿海フェリー,羽幌沿海フェリー（全航路）,羽幌 - 焼尻 - 天売,mixed,2019,FY,38000,,35,no,北海道運輸局管内における離島航路の在り方に関する調査等業務 報告書（令和6年1月）図5 羽幌沿海フェリー利用者数の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000318906.pdf,p.4 (PDF p.6),rounded to thousands；probably Oct-Sep year
北海道,羽幌沿海フェリー,羽幌沿海フェリー（全航路）,羽幌 - 焼尻 - 天売,mixed,2020,FY,19000,,35,no,北海道運輸局管内における離島航路の在り方に関する調査等業務 報告書（令和6年1月）図5 羽幌沿海フェリー利用者数の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000318906.pdf,p.4 (PDF p.6),rounded to thousands；probably Oct-Sep year；COVID
北海道,羽幌沿海フェリー,羽幌沿海フェリー（全航路）,羽幌 - 焼尻 - 天売,mixed,2021,FY,20000,,35,no,北海道運輸局管内における離島航路の在り方に関する調査等業務 報告書（令和6年1月）図5 羽幌沿海フェリー利用者数の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000318906.pdf,p.4 (PDF p.6),rounded to thousands；probably Oct-Sep year；COVID
北海道・青森県,川崎近海汽船（シルバーフェリー）,苫小牧～八戸,苫小牧 - 八戸,ferry,2015,FY,350000,,242,no,2025 北海道の交通の状況 ③航路別旅客輸送人員の推移,https://www.pref.hokkaido.lg.jp/fs/1/1/4/8/9/0/5/7/_/II%20%E8%BC%B8%E9%80%81%E3%81%AE%E5%8B%95%E5%90%91%E7%AD%89(3%20%E5%9B%BD%E5%86%85%E4%BA%A4%E9%80%9A1).pdf,p.24 (PDF p.6),source unit 千人 (x1000)；table cites 数字でみる北海道の運輸；km from 東北運輸局 図で見る東北の運輸 ferry map
