prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
三重県,鳥羽市（市営定期船）,鳥羽～坂手間,鳥羽 - 坂手,passenger,2019,FY,87815.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5 (大人1対小人0.5); 資料 定期船課
三重県,鳥羽市（市営定期船）,鳥羽～坂手間,鳥羽 - 坂手,passenger,2020,FY,63413.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～坂手間,鳥羽 - 坂手,passenger,2021,FY,66535.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5; table total for FY2021 misprinted as 4856666 (routes sum to 485666.5)
三重県,鳥羽市（市営定期船）,鳥羽～坂手間,鳥羽 - 坂手,passenger,2022,FY,76320.0,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～坂手間,鳥羽 - 坂手,passenger,2023,FY,76102.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～答志間,鳥羽 - 答志,passenger,2019,FY,228905.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5; island side calls 答志 and 和具 (答志町)
三重県,鳥羽市（市営定期船）,鳥羽～答志間,鳥羽 - 答志,passenger,2020,FY,158812.0,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～答志間,鳥羽 - 答志,passenger,2021,FY,173466.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～答志間,鳥羽 - 答志,passenger,2022,FY,218747.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～答志間,鳥羽 - 答志,passenger,2023,FY,218840.0,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～桃取間,鳥羽 - 桃取,passenger,2019,FY,165913.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5; 桃取 is on 答志島
三重県,鳥羽市（市営定期船）,鳥羽～桃取間,鳥羽 - 桃取,passenger,2020,FY,116968.0,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～桃取間,鳥羽 - 桃取,passenger,2021,FY,130963.0,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～桃取間,鳥羽 - 桃取,passenger,2022,FY,142344.5,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～桃取間,鳥羽 - 桃取,passenger,2023,FY,148746.0,,,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5
三重県,鳥羽市（市営定期船）,鳥羽～神島間,鳥羽 - 神島,passenger,2019,FY,43409.5,,14.9,no,鳥羽市統計要覧 令和6年版 市営定期航路乗客状況,https://www.city.toba.mie.jp/material/files/group/2/R6youran.pdf,p.49,children counted as 0.5; route_km 14.9 from 数字でみる中部の運輸2026 table 5(6) 離島国庫補助航路の概要 (https://wwwtb.mlit.go.jp/chubu/kousei/suuji/data/2-5-6.pdf)
