prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
Tokyo,東海汽船,東京港 - 館山,東京港 - 館山,highspeed,2016,CY,499,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing for this destination port; seasonal jetfoil; Tateyama is in Chiba
Tokyo,東海汽船,東京港 - 大島(元町),東京港 - 大島(元町),mixed,2016,CY,71735,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 大島(岡田),東京港 - 大島(岡田),mixed,2016,CY,240322,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 利島,東京港 - 利島,mixed,2016,CY,7843,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 新島,東京港 - 新島,mixed,2016,CY,39977,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 新島諸港,東京港 - 新島諸港,mixed,2016,CY,7534,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing; 諸港 = other ports on the island
Tokyo,東海汽船,東京港 - 式根島,東京港 - 式根島,mixed,2016,CY,41636,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island (see kanto.md)
Tokyo,東海汽船,東京港 - 神津島,東京港 - 神津島,mixed,2016,CY,29504,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 神津島諸港,東京港 - 神津島諸港,mixed,2016,CY,10606,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing; 諸港 = other ports on the island
Tokyo,東海汽船,東京港 - 御蔵島,東京港 - 御蔵島,passenger,2016,CY,13598,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 三宅島(三池),東京港 - 三宅島(三池),passenger,2016,CY,17436,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 三宅島諸港,東京港 - 三宅島諸港,passenger,2016,CY,41590,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing; 諸港 = other ports on the island
Tokyo,東海汽船,東京港 - 八丈島(八重根),東京港 - 八丈島(八重根),passenger,2016,CY,48,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 八丈島(神湊),東京港 - 八丈島(神湊),passenger,2016,CY,28640,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,小笠原海運,東京港 - 小笠原(二見),東京港 - 父島(二見),passenger,2016,CY,56218,,,no,東京港港勢（概報）平成28年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34799_2016kousei-gaihou2,p.15,Tokyo-port boarding+landing for Ogasawara-maru; route km ~1000
Tokyo,東海汽船,東京港 - 大島(元町),東京港 - 大島(元町),mixed,2017,CY,94020,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 大島(岡田),東京港 - 大島(岡田),mixed,2017,CY,234535,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 新島,東京港 - 新島,mixed,2017,CY,41505,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 新島諸港,東京港 - 新島諸港,mixed,2017,CY,10353,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing; 諸港 = other ports on the island
Tokyo,東海汽船,東京港 - 神津島,東京港 - 神津島,mixed,2017,CY,28246,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 神津島諸港,東京港 - 神津島諸港,mixed,2017,CY,17551,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing; 諸港 = other ports on the island
Tokyo,東海汽船,東京港 - 三宅島(三池),東京港 - 三宅島(三池),passenger,2017,CY,22370,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 三宅島諸港,東京港 - 三宅島諸港,passenger,2017,CY,34811,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing; 諸港 = other ports on the island
Tokyo,東海汽船,東京港 - 八丈島(八重根),東京港 - 八丈島(八重根),passenger,2017,CY,1010,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
Tokyo,東海汽船,東京港 - 八丈島(神湊),東京港 - 八丈島(神湊),passenger,2017,CY,31556,,,no,東京港港勢（概報）平成29年 表7 外内航客船・船客乗降人員表,https://www.kouwan.metro.tokyo.lg.jp/documents/d/kouwan/34820_2017kousei-gaihou3,p.15,Tokyo-port boarding+landing to/from this island port (see kanto.md)
