prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
兵庫県,坊勢汽船+輝観光（2020年4月に坊勢輝汽船へ統合）,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2017,FY,257147,,22.1,,"令和8年度 姫路港～坊勢島航路 生活交通確保維持改善計画（姫路市地域公共交通会議離島航路分科会 2026年6月）",https://www.city.himeji.lg.jp/cmsfiles/contents/0000033/33752/06R8kaizenkeikaku.pdf,p.2 利用者数推移 (PDF p.6),"Bar label. Year predates the April 2020 merger of 坊勢汽船 and 輝観光; appears to be both operators combined (FY2015 combined was 273085)."
兵庫県,坊勢汽船+輝観光（2020年4月に坊勢輝汽船へ統合）,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2018,FY,246081,,22.1,,"令和8年度 姫路港～坊勢島航路 生活交通確保維持改善計画（姫路市地域公共交通会議離島航路分科会 2026年6月）",https://www.city.himeji.lg.jp/cmsfiles/contents/0000033/33752/06R8kaizenkeikaku.pdf,p.2 利用者数推移 (PDF p.6),"Bar label. Predates the 2020 merger; appears to be both operators combined."
兵庫県,坊勢汽船+輝観光（2020年4月に坊勢輝汽船へ統合）,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2019,FY,231365,,22.1,,"令和8年度 姫路港～坊勢島航路 生活交通確保維持改善計画（姫路市地域公共交通会議離島航路分科会 2026年6月）",https://www.city.himeji.lg.jp/cmsfiles/contents/0000033/33752/06R8kaizenkeikaku.pdf,p.2 利用者数推移 (PDF p.6),"Bar label; also in text (R1:231365). Predates the 2020 merger; appears to be both operators combined."
兵庫県,坊勢輝汽船,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2020,FY,207610,,22.1,,"令和8年度 姫路港～坊勢島航路 生活交通確保維持改善計画（姫路市地域公共交通会議離島航路分科会 2026年6月）",https://www.city.himeji.lg.jp/cmsfiles/contents/0000033/33752/06R8kaizenkeikaku.pdf,p.2 利用者数推移 (PDF p.6),"Bar label. The FY2023 plan (2022) gave 207578 for the same year."
兵庫県,坊勢輝汽船,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2021,FY,212638,,22.1,,"令和8年度 姫路港～坊勢島航路 生活交通確保維持改善計画（姫路市地域公共交通会議離島航路分科会 2026年6月）",https://www.city.himeji.lg.jp/cmsfiles/contents/0000033/33752/06R8kaizenkeikaku.pdf,p.2 利用者数推移 (PDF p.6),"Bar label. The FY2023 plan (2022) gave 212642 for the same year."
兵庫県,坊勢輝汽船,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2022,FY,219027,,22.1,,"令和8年度 姫路港～坊勢島航路 生活交通確保維持改善計画（姫路市地域公共交通会議離島航路分科会 2026年6月）",https://www.city.himeji.lg.jp/cmsfiles/contents/0000033/33752/06R8kaizenkeikaku.pdf,p.2 利用者数推移 (PDF p.6),Bar label.
兵庫県,坊勢輝汽船,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2023,FY,219592,,22.1,,"令和8年度 姫路港～坊勢島航路 生活交通確保維持改善計画（姫路市地域公共交通会議離島航路分科会 2026年6月）",https://www.city.himeji.lg.jp/cmsfiles/contents/0000033/33752/06R8kaizenkeikaku.pdf,p.2 利用者数推移 (PDF p.6),Bar label; also in text.
兵庫県,坊勢輝汽船,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2024,FY,213860,,22.1,,"令和8年度 姫路港～坊勢島航路 生活交通確保維持改善計画（姫路市地域公共交通会議離島航路分科会 2026年6月）",https://www.city.himeji.lg.jp/cmsfiles/contents/0000033/33752/06R8kaizenkeikaku.pdf,p.1-2 (PDF p.5-6); passenger-km p.18-19 and p.23,"年間旅客者数 213860 (令和6年度実績). No FY passenger-km; the subsidy-year table (p.18) gives Oct 2024-Sep 2025: 211945 riders and 4608963.40 人キロ (avg trip 21.7 km). Section split (p.23): 姫路-男鹿 15.5 km / 姫路-奈座 22.1 km / 男鹿-奈座 6.6 km with 94.4% of riders on the full 22.1 km. 12 round trips/day."
兵庫県,坊勢汽船+輝観光（2020年4月に坊勢輝汽船へ統合）,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2019,FY,231365,,22.1,,"令和5年度 姫路港～坊勢島航路 生活交通確保維持改善計画（案）（姫路市地域公共交通会議離島航路分科会 2022年6月）",https://www.city.himeji.lg.jp/sangyo/cmsfiles/contents/0000021/21576/siryo01.pdf,p.2 (PDF p.6),In text (令和元年度 231365人).
兵庫県,坊勢輝汽船,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2020,FY,207578,,22.1,,"令和5年度 姫路港～坊勢島航路 生活交通確保維持改善計画（案）（姫路市地域公共交通会議離島航路分科会 2022年6月）",https://www.city.himeji.lg.jp/sangyo/cmsfiles/contents/0000021/21576/siryo01.pdf,p.2 (PDF p.6),In text (令和2年度 207578人). The 2026 plan revises this to 207610.
兵庫県,坊勢輝汽船,姫路港～坊勢島航路,姫路 - 男鹿島 - 坊勢島(奈座),passenger,2021,FY,212642,,22.1,,"令和5年度 姫路港～坊勢島航路 生活交通確保維持改善計画（案）（姫路市地域公共交通会議離島航路分科会 2022年6月）",https://www.city.himeji.lg.jp/sangyo/cmsfiles/contents/0000021/21576/siryo01.pdf,p.1-2 (PDF p.5-6),In text (令和3年度実績 212642人). The 2026 plan revises this to 212638.
兵庫県,坊勢汽船,姫路～男鹿島～坊勢島（奈座）～西島,姫路 - 男鹿島 - 坊勢島(奈座) - 西島,passenger,2015,FY,185478,,,,"家島諸島航路における利便性向上方策のための調査業務 報告書（平成29年3月 国土交通省神戸運輸監理部）",https://wwwtb.mlit.go.jp/kobe/content/000021529.pdf,p.4 図-2 (PDF p.8),"Bar label; source 運航事業者各社資料. Only some sailings call at 男鹿島; 坊勢島-西島 was mostly on-demand. Route total with 輝観光 = 273085, matching the text (273千人). Merged into 坊勢輝汽船 in April 2020."
兵庫県,輝観光,姫路～坊勢島（奈座）～西島,姫路 - 坊勢島(奈座) - 西島,passenger,2015,FY,87607,,,,"家島諸島航路における利便性向上方策のための調査業務 報告書（平成29年3月 国土交通省神戸運輸監理部）",https://wwwtb.mlit.go.jp/kobe/content/000021529.pdf,p.4 図-2 (PDF p.8),"Bar label; source 運航事業者各社資料. 西島 leg March-November only. Merged into 坊勢輝汽船 in April 2020."
兵庫県,高速いえしま,姫路～家島（真浦・宮）,姫路 - 家島(真浦) - 家島(宮),passenger,2015,FY,229650,,,,"家島諸島航路における利便性向上方策のための調査業務 報告書（平成29年3月 国土交通省神戸運輸監理部）",https://wwwtb.mlit.go.jp/kobe/content/000021529.pdf,p.4 図-2 (PDF p.8),"Bar label; source 運航事業者各社資料. Route total with 高福ライナー = 404329, matching the text (404千人). Latest figure found for this operator."
兵庫県,高福ライナー,姫路～家島（真浦・宮）,姫路 - 家島(真浦) - 家島(宮),passenger,2015,FY,174679,,,,"家島諸島航路における利便性向上方策のための調査業務 報告書（平成29年3月 国土交通省神戸運輸監理部）",https://wwwtb.mlit.go.jp/kobe/content/000021529.pdf,p.4 図-2 (PDF p.8),"Bar label; source 運航事業者各社資料. Latest figure found for this operator."
兵庫県,坊勢渡船,家島（網手）～坊勢島（奈座）,家島(網手) - 坊勢島(奈座),passenger,2014,FY,39156,,,,"家島諸島における望ましい海上交通のあり方に関する調査 報告書（平成28年3月 国土交通省神戸運輸監理部）",https://wwwtb.mlit.go.jp/kobe/content/000021526.pdf,p.9 表-4 (PDF p.13),"Latest figure found (FY2014, before the FY2015 cut-off, kept because nothing newer exists). Table total 713635 over five operators checks. About 10 minutes, 13 round trips on weekdays."
兵庫県,沼島汽船,沼島航路 灘線,土生 - 沼島,passenger,2013,FY,133345,,4.4,,"近畿圏の離島航路における災害時等の運航のあり方に関する調査 報告書（平成27年3月 国土交通省神戸運輸監理部）",https://wwwtb.mlit.go.jp/kobe/content/000021519.pdf,p.15-17 図-8/図-9/表-8 (PDF p.21-23),"Latest figure found (FY2013). 表-8 gives 133344.5: children counted as 0.5 and commuter-pass riders (33750) estimated from pass sales. Includes tourists (hamo season and beach season peaks). Chart axis says 年 but text and table say 平成25年度. 10 round trips/day."
兵庫県,沼島汽船,沼島航路 洲本線,沼島 - 洲本,passenger,2013,FY,604,,29.2,,"近畿圏の離島航路における災害時等の運航のあり方に関する調査 報告書（平成27年3月 国土交通省神戸運輸監理部）",https://wwwtb.mlit.go.jp/kobe/content/000021519.pdf,p.15 and p.18 図-11 (PDF p.21 and p.24),"Latest figure found (FY2013). One round trip 3 days a week in 2014; whether it still runs was not checked."
兵庫県,こうべ未来都市機構,神戸－関空ベイ・シャトル,神戸空港 - 関西国際空港,highspeed,2020,FY,27612,,,,"令和5年度 株式会社こうべ未来都市機構 事業概要（神戸市 都市局）",https://www.city.kobe.lg.jp/documents/61432/04kobemiraitoshikikou.pdf,p.41 主要事業の推移 (PDF p.43),年間乗船客数.
兵庫県,こうべ未来都市機構,神戸－関空ベイ・シャトル,神戸空港 - 関西国際空港,highspeed,2021,FY,37691,,,,"令和5年度 株式会社こうべ未来都市機構 事業概要（神戸市 都市局）",https://www.city.kobe.lg.jp/documents/61432/04kobemiraitoshikikou.pdf,p.41 主要事業の推移 (PDF p.43),年間乗船客数.
兵庫県,こうべ未来都市機構,神戸－関空ベイ・シャトル,神戸空港 - 関西国際空港,highspeed,2022,FY,103613,,,,"令和5年度 株式会社こうべ未来都市機構 事業概要（神戸市 都市局）",https://www.city.kobe.lg.jp/documents/61432/04kobemiraitoshikikou.pdf,p.41 主要事業の推移 (PDF p.43),年間乗船客数.
兵庫県,こうべ未来都市機構,神戸－関空ベイ・シャトル,神戸空港 - 関西国際空港,highspeed,2022,FY,103613,,,,"令和7年度 株式会社こうべ未来都市機構 事業概要（神戸市会 外郭団体に関する特別委員会資料 都市局）",https://www.city.kobe.lg.jp/documents/79677/4_kobemiraitoshikiko.pdf,p.43 主要事業の推移 (PDF p.45),年間乗船客数.
兵庫県,こうべ未来都市機構,神戸－関空ベイ・シャトル,神戸空港 - 関西国際空港,highspeed,2023,FY,269197,,,,"令和7年度 株式会社こうべ未来都市機構 事業概要（神戸市会 外郭団体に関する特別委員会資料 都市局）",https://www.city.kobe.lg.jp/documents/79677/4_kobemiraitoshikiko.pdf,p.43 主要事業の推移 (PDF p.45),年間乗船客数.
兵庫県,こうべ未来都市機構,神戸－関空ベイ・シャトル,神戸空港 - 関西国際空港,highspeed,2024,FY,348236,,,,"令和7年度 株式会社こうべ未来都市機構 事業概要（神戸市会 外郭団体に関する特別委員会資料 都市局）",https://www.city.kobe.lg.jp/documents/79677/4_kobemiraitoshikiko.pdf,p.43 主要事業の推移 (PDF p.45),"年間乗船客数. FY2019 not found in anything read: a data.wingarc.com article lists 2019 as 368337 but that number was only seen through a fetch summary, so it is not recorded. An older 事業概要 edition would have it."
