prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
長崎県,木口汽船,福江～久賀島～椛島,久賀島（田ノ浦） - 福江 - 椛島,mixed,2015,FY,52430,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Two Kiguchi Kisen routes (Fukue-Hisaka and Fukue-Kabashima) published as one line. National-subsidy route. Table footnote: based on Goto city data (補助航路期間10月～9月) so years likely run October of the previous year to September. Checked against the table's total row."
長崎県,木口汽船,福江～久賀島～椛島,久賀島（田ノ浦） - 福江 - 椛島,mixed,2016,FY,52549,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Two Kiguchi Kisen routes published as one line. Subsidy year October-September likely."
長崎県,木口汽船,福江～久賀島～椛島,久賀島（田ノ浦） - 福江 - 椛島,mixed,2017,FY,56505,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Two Kiguchi Kisen routes published as one line. Subsidy year October-September likely."
長崎県,木口汽船,福江～久賀島～椛島,久賀島（田ノ浦） - 福江 - 椛島,mixed,2018,FY,65707,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Two Kiguchi Kisen routes published as one line. Subsidy year October-September likely."
長崎県,木口汽船,福江～久賀島～椛島,久賀島（田ノ浦） - 福江 - 椛島,mixed,2019,FY,66720,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Two Kiguchi Kisen routes published as one line. Subsidy year October-September likely."
長崎県,木口汽船,福江～久賀島～椛島,久賀島（田ノ浦） - 福江 - 椛島,mixed,2020,FY,40750,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Two Kiguchi Kisen routes published as one line. Subsidy year October-September likely. COVID year."
長崎県,五島旅客船,福江～郷ノ首,福江 - 奈留 - 土井浦 - 郷ノ首 - 若松,mixed,2015,FY,108492,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Ferry OCEAN + high-speed ニューたいよう combined. Some sailings run on to 若松 (Shin-Kamigoto town). National-subsidy route; subsidy year October-September likely."
長崎県,五島旅客船,福江～郷ノ首,福江 - 奈留 - 土井浦 - 郷ノ首 - 若松,mixed,2016,FY,105124,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Ferry + high-speed combined. Subsidy year October-September likely."
長崎県,五島旅客船,福江～郷ノ首,福江 - 奈留 - 土井浦 - 郷ノ首 - 若松,mixed,2017,FY,103693,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Ferry + high-speed combined. Subsidy year October-September likely."
長崎県,五島旅客船,福江～郷ノ首,福江 - 奈留 - 土井浦 - 郷ノ首 - 若松,mixed,2018,FY,110327,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Ferry + high-speed combined. Subsidy year October-September likely."
長崎県,五島旅客船,福江～郷ノ首,福江 - 奈留 - 土井浦 - 郷ノ首 - 若松,mixed,2019,FY,120707,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Ferry + high-speed combined. Subsidy year October-September likely."
長崎県,五島旅客船,福江～郷ノ首,福江 - 奈留 - 土井浦 - 郷ノ首 - 若松,mixed,2020,FY,98442,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"Ferry + high-speed combined. Subsidy year October-September likely. COVID year."
長崎県,黄島海運,福江～黄島・赤島,福江 - 赤島 - 黄島,passenger,2015,FY,4292,,,no,五島市地域公共交通計画（変更）令和4年3月策定・令和6年8月変更,https://www.city.goto.nagasaki.jp/s050/010/020/030/kokyokotukeikaku060806.pdf,p.23 表 航路利用者数,"National-subsidy route; subsidy year October-September likely."
