prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2015,FY,46452.5,1909197.8,41.1,no,沖縄総合事務局運輸部 運輸要覧 平成29年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/H29unyuyoran_250729.pdf,p.65 (PDF 66),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2016,FY,49575.5,2037553.1,41.1,no,沖縄総合事務局運輸部 運輸要覧 令和3年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/R3unyuyoran_260414.pdf,p.71 (PDF 72),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2017,FY,54662,2246608.2,41.1,no,沖縄総合事務局運輸部 運輸要覧 令和3年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/R3unyuyoran_260414.pdf,p.71 (PDF 72),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2018,FY,51744,2126699,41.1,no,沖縄県 離島関係資料 令和6年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/028/067/03_chapter3_r6.pdf,p.80 (PDF 18),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2019,FY,60837,2500400.8,41.1,no,沖縄県 離島関係資料 令和6年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/028/067/03_chapter3_r6.pdf,p.80 (PDF 18),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2020,FY,17722,728374.2,41.1,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2021,FY,17776,730593.6,41.1,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2022,FY,26712,1097863.2,41.1,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2023,FY,29380,1207518,41.1,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊平屋村,伊平屋/運天,伊平屋 - 運天,ferry,2024,FY,29981,1232219.1,41.1,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2015,FY,82027,2280350.6,27.8,no,沖縄総合事務局運輸部 運輸要覧 平成29年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/H29unyuyoran_250729.pdf,p.65 (PDF 66),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2016,FY,82751.5,2300491.7,27.8,no,沖縄総合事務局運輸部 運輸要覧 令和3年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/R3unyuyoran_260414.pdf,p.71 (PDF 72),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2017,FY,81167.5,2256456.5,27.8,no,沖縄総合事務局運輸部 運輸要覧 令和3年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/R3unyuyoran_260414.pdf,p.71 (PDF 72),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2018,FY,81818.5,2274554.3,27.8,no,沖縄県 離島関係資料 令和6年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/028/067/03_chapter3_r6.pdf,p.80 (PDF 18),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2019,FY,81213.5,2257735.3,27.8,no,沖縄県 離島関係資料 令和6年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/028/067/03_chapter3_r6.pdf,p.80 (PDF 18),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2020,FY,41894,1164653.2,27.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2021,FY,39242,1090927.6,27.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2022,FY,53371,1483713.8,27.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2023,FY,65733,1827377.4,27.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊是名村,伊是名/運天,伊是名 - 運天,ferry,2024,FY,64287,1787178.6,27.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2015,FY,569234,6147727.2,10.8,no,沖縄総合事務局運輸部 運輸要覧 平成29年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/H29unyuyoran_250729.pdf,p.65 (PDF 66),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2016,FY,553092,5973393.6,10.8,no,沖縄総合事務局運輸部 運輸要覧 令和3年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/R3unyuyoran_260414.pdf,p.71 (PDF 72),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2017,FY,486513,5254340.4,10.8,no,沖縄総合事務局運輸部 運輸要覧 令和3年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/R3unyuyoran_260414.pdf,p.71 (PDF 72),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2018,FY,486681,5256154.8,10.8,no,沖縄県 離島関係資料 令和6年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/028/067/03_chapter3_r6.pdf,p.80 (PDF 18),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2019,FY,474330,5122764,10.8,no,沖縄県 離島関係資料 令和6年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/028/067/03_chapter3_r6.pdf,p.80 (PDF 18),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2020,FY,220291,2379142.8,10.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2021,FY,222559,2403637.2,10.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2022,FY,319522,3450837.6,10.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2023,FY,389272,4204137.6,10.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,伊江村,伊江/本部,伊江 - 本部,ferry,2024,FY,389627,4207971.6,10.8,no,沖縄県 離島関係資料 令和8年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/038/825/03.chapter3.r8.pdf,p.80 (PDF 19),
Okinawa,粟国村,泊/粟国,泊 - 粟国,ferry,2015,FY,29937,1781251.5,59.5,no,沖縄総合事務局運輸部 運輸要覧 平成29年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/H29unyuyoran_250729.pdf,p.65 (PDF 66),
Okinawa,粟国村,泊/粟国,泊 - 粟国,ferry,2016,FY,33663,2002948.5,59.5,no,沖縄総合事務局運輸部 運輸要覧 令和3年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/R3unyuyoran_260414.pdf,p.71 (PDF 72),
Okinawa,粟国村,泊/粟国,泊 - 粟国,ferry,2017,FY,35463,2110048.5,59.5,no,沖縄総合事務局運輸部 運輸要覧 令和3年12月 旅客定期航路事業輸送実績,https://www.ogb.go.jp/-/media/Files/OGB/Unyu/survey/R3unyuyoran_260414.pdf,p.71 (PDF 72),
Okinawa,粟国村,泊/粟国,泊 - 粟国,ferry,2018,FY,35089,2087795.5,59.5,no,沖縄県 離島関係資料 令和6年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/028/067/03_chapter3_r6.pdf,p.80 (PDF 18),
Okinawa,粟国村,泊/粟国,泊 - 粟国,ferry,2019,FY,29260,1740970,59.5,no,沖縄県 離島関係資料 令和6年3月 第3章 (6)旅客定期航路事業輸送実績,https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/028/067/03_chapter3_r6.pdf,p.80 (PDF 18),
