prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
北海道,川崎近海汽船 (シルバーフェリー),苫小牧～八戸,苫小牧 - 八戸,ferry,2019,FY,339000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人; the FY2019 total column (1811) is 38 less than the sum of that row's route columns (1849) so one FY2019 cell may be misprinted
北海道,川崎近海汽船 (シルバーフェリー),苫小牧～八戸,苫小牧 - 八戸,ferry,2020,FY,204000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人
北海道,川崎近海汽船 (シルバーフェリー),苫小牧～八戸,苫小牧 - 八戸,ferry,2021,FY,232000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人
北海道,川崎近海汽船 (シルバーフェリー),苫小牧～八戸,苫小牧 - 八戸,ferry,2022,FY,295000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人
北海道,川崎近海汽船 (シルバーフェリー),苫小牧～八戸,苫小牧 - 八戸,ferry,2023,FY,334000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人
北海道,川崎近海汽船 (シルバーフェリー),苫小牧～八戸,苫小牧 - 八戸,ferry,2024,FY,332000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人
北海道,太平洋フェリー,苫小牧～仙台～名古屋,苫小牧 - 仙台 - 名古屋,ferry,2019,FY,187000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人; whole route in one column; not stated whether 仙台～名古屋 passengers are included; FY2019 total-column discrepancy (see 苫小牧～八戸 FY2019)
北海道,太平洋フェリー,苫小牧～仙台～名古屋,苫小牧 - 仙台 - 名古屋,ferry,2020,FY,96000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人; not stated whether 仙台～名古屋 passengers are included
北海道,太平洋フェリー,苫小牧～仙台～名古屋,苫小牧 - 仙台 - 名古屋,ferry,2021,FY,113000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人; not stated whether 仙台～名古屋 passengers are included
北海道,太平洋フェリー,苫小牧～仙台～名古屋,苫小牧 - 仙台 - 名古屋,ferry,2022,FY,157000,,,no,北海道運輸局「数字でみる北海道の運輸」2.旅客輸送 11(3) 航路別旅客輸送人員の推移,https://wwwtb.mlit.go.jp/hokkaido/content/000368329.pdf,PDF p.18,published in 千人; not stated whether 仙台～名古屋 passengers are included
