prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
千葉県,東京湾フェリー,久里浜～金谷,久里浜 - 金谷,ferry,2024,CY,605837,,,,千葉県港湾統計年報 令和6年 地方港湾 5 フェリー月別乗降人員数（浜金谷－久里浜）,https://www.pref.chiba.lg.jp/kouwan/toukeidata/nenpou/r6/documents/r6nenpo-t4-5.xlsx,Sheet1 table 5 合計,"Boardings + landings at 浜金谷, the ferry's only port on the Chiba side; equals 港湾統計 2024 浜金谷."
神奈川県,,久里浜港 定期航路（計）,久里浜 - 金谷,ferry,2018,CY,854460,,,,横須賀市統計書 令和5年度版 79 定期航路乗降人員・車輌台数,https://www.city.yokosuka.kanagawa.jp/0830/data/t-k-syo/documents/n05010.xlsx,sheet 79,"乗込 + 上陸 人員 at 久里浜港 for all scheduled routes, not split; mostly 東京湾フェリー, but any 東海汽船 sailings from 久里浜 would be inside it. Year basis assumed calendar (年次)."
神奈川県,,久里浜港 定期航路（計）,久里浜 - 金谷,ferry,2019,CY,760267,,,,横須賀市統計書 令和5年度版 79 定期航路乗降人員・車輌台数,https://www.city.yokosuka.kanagawa.jp/0830/data/t-k-syo/documents/n05010.xlsx,sheet 79,"乗込 + 上陸 人員 at 久里浜港 for all scheduled routes, not split; mostly 東京湾フェリー, but any 東海汽船 sailings from 久里浜 would be inside it. Year basis assumed calendar (年次)."
神奈川県,,久里浜港 定期航路（計）,久里浜 - 金谷,ferry,2020,CY,501488,,,,横須賀市統計書 令和5年度版 79 定期航路乗降人員・車輌台数,https://www.city.yokosuka.kanagawa.jp/0830/data/t-k-syo/documents/n05010.xlsx,sheet 79,"乗込 + 上陸 人員 at 久里浜港 for all scheduled routes, not split; mostly 東京湾フェリー, but any 東海汽船 sailings from 久里浜 would be inside it. Year basis assumed calendar (年次)."
神奈川県,,久里浜港 定期航路（計）,久里浜 - 金谷,ferry,2021,CY,549758,,,,横須賀市統計書 令和5年度版 79 定期航路乗降人員・車輌台数,https://www.city.yokosuka.kanagawa.jp/0830/data/t-k-syo/documents/n05010.xlsx,sheet 79,"乗込 + 上陸 人員 at 久里浜港 for all scheduled routes, not split; mostly 東京湾フェリー, but any 東海汽船 sailings from 久里浜 would be inside it. Year basis assumed calendar (年次)."
神奈川県,,久里浜港 定期航路（計）,久里浜 - 金谷,ferry,2022,CY,733726,,,,横須賀市統計書 令和5年度版 79 定期航路乗降人員・車輌台数,https://www.city.yokosuka.kanagawa.jp/0830/data/t-k-syo/documents/n05010.xlsx,sheet 79,"乗込 + 上陸 人員 at 久里浜港 for all scheduled routes, not split; mostly 東京湾フェリー, but any 東海汽船 sailings from 久里浜 would be inside it. Year basis assumed calendar (年次)."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2013,CY,512389,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2013,CY,14910,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2013,CY,175354,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～香焼,長崎 - 香焼,mixed,2013,CY,232085,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～上五島,長崎 - 上五島,mixed,2013,CY,98624,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～五島,長崎 - 奈良尾 - 福江,mixed,2014,CY,514209,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～天草,茂木 - 富岡,mixed,2014,CY,12326,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～伊王島～高島,長崎 - 伊王島 - 高島,mixed,2014,CY,145166,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
長崎県,,長崎～香焼,長崎 - 香焼,mixed,2014,CY,560058,,,,平成30年版長崎市統計年鑑 38 乗降船客数,https://www.city.nagasaki.lg.jp/uploaded/attachment/14666.xlsx,sheet 乗降船客数,"Boardings + landings at Nagasaki port only (legs between other ports excluded); children counted as 0.5. Operators named for the whole table: 九州商船, 苓北観光汽船, 野母商船, 五島産業汽船 (and 長崎汽船 in the yearbook) — not split by route."
