prefecture,operator,route,ports,vessel,fiscal_year,year_basis,annual_passengers,passenger_km,route_km,needs_download,source_title,source_url,source_page,notes
徳島県,南海フェリー,和歌山～徳島,和歌山港 - 徳島港,ferry,2019,FY,414000,,61,no,南海電気鉄道「フェリー事業からの撤退について」(2026年3月30日) 別紙 (8) 近年の営業成績,https://www.nankai.co.jp/lib/company/ir/news/pdf/260330.pdf,p.2,"Published as 旅客数（千人） 414; rounded to thousands. Counts foot passengers plus drivers and passengers of vehicles. Route length 61 km from p.1. Nankai plans to withdraw by end of March 2028. Cross-region (Wakayama)."
徳島県,南海フェリー,和歌山～徳島,和歌山港 - 徳島港,ferry,2020,FY,195000,,61,no,南海電気鉄道「フェリー事業からの撤退について」(2026年3月30日) 別紙 (8) 近年の営業成績,https://www.nankai.co.jp/lib/company/ir/news/pdf/260330.pdf,p.2,"Published as 旅客数（千人） 195; rounded to thousands. Includes vehicle occupants. COVID year."
徳島県,南海フェリー,和歌山～徳島,和歌山港 - 徳島港,ferry,2021,FY,214000,,61,no,南海電気鉄道「フェリー事業からの撤退について」(2026年3月30日) 別紙 (8) 近年の営業成績,https://www.nankai.co.jp/lib/company/ir/news/pdf/260330.pdf,p.2,"Published as 旅客数（千人） 214; rounded to thousands. Includes vehicle occupants."
徳島県,南海フェリー,和歌山～徳島,和歌山港 - 徳島港,ferry,2022,FY,308000,,61,no,南海電気鉄道「フェリー事業からの撤退について」(2026年3月30日) 別紙 (8) 近年の営業成績,https://www.nankai.co.jp/lib/company/ir/news/pdf/260330.pdf,p.2,"Published as 旅客数（千人） 308; rounded to thousands. Includes vehicle occupants."
徳島県,南海フェリー,和歌山～徳島,和歌山港 - 徳島港,ferry,2023,FY,356000,,61,no,南海電気鉄道「フェリー事業からの撤退について」(2026年3月30日) 別紙 (8) 近年の営業成績,https://www.nankai.co.jp/lib/company/ir/news/pdf/260330.pdf,p.2,"Published as 旅客数（千人） 356; rounded to thousands. Includes vehicle occupants."
徳島県,南海フェリー,和歌山～徳島,和歌山港 - 徳島港,ferry,2024,FY,357000,,61,no,南海電気鉄道「フェリー事業からの撤退について」(2026年3月30日) 別紙 (8) 近年の営業成績,https://www.nankai.co.jp/lib/company/ir/news/pdf/260330.pdf,p.2,"Published as 旅客数（千人） 357; rounded to thousands. Includes vehicle occupants."
香川県,雌雄島海運,男木～高松航路,高松 - 女木 - 男木,ferry,2015,FY,246165,,,no,高松市離島航路確保維持改善協議会（令和8年度）別紙「＜参考＞男木～高松航路の年間利用者数推移」②年度別利用者数,https://www.city.takamatsu.kagawa.jp/kurashi/shinotorikumi/machidukuri/sogotoshikoutu/kakuho_iji/rito/r5ritoukouro.files/betusi.pdf,p.1 chart ②,"April-March total read from chart data label (H27). Includes Takamatsu-Megijima and Megijima-Ogijima legs. National subsidy route (国庫補助航路)."
香川県,雌雄島海運,男木～高松航路,高松 - 女木 - 男木,ferry,2016,FY,332846,,,no,高松市離島航路確保維持改善協議会（令和8年度）別紙「＜参考＞男木～高松航路の年間利用者数推移」②年度別利用者数,https://www.city.takamatsu.kagawa.jp/kurashi/shinotorikumi/machidukuri/sogotoshikoutu/kakuho_iji/rito/r5ritoukouro.files/betusi.pdf,p.1 chart ②,"H28. Setouchi Triennale year (瀬戸芸2016) - inflated by festival visitors."
香川県,雌雄島海運,男木～高松航路,高松 - 女木 - 男木,ferry,2017,FY,218961.5,,,no,高松市離島航路確保維持改善協議会（令和8年度）別紙「＜参考＞男木～高松航路の年間利用者数推移」②年度別利用者数,https://www.city.takamatsu.kagawa.jp/kurashi/shinotorikumi/machidukuri/sogotoshikoutu/kakuho_iji/rito/r5ritoukouro.files/betusi.pdf,p.1 chart ②,"H29. Half value as published (children presumably counted as 0.5)."
香川県,雌雄島海運,男木～高松航路,高松 - 女木 - 男木,ferry,2018,FY,221058.5,,,no,高松市離島航路確保維持改善協議会（令和8年度）別紙「＜参考＞男木～高松航路の年間利用者数推移」②年度別利用者数,https://www.city.takamatsu.kagawa.jp/kurashi/shinotorikumi/machidukuri/sogotoshikoutu/kakuho_iji/rito/r5ritoukouro.files/betusi.pdf,p.1 chart ②,"H30. Half value as published."
