Audited 4287 (op, line, from, to) groups.
Rescued (published label disagrees with geometric endpoint): 120

  operator        line                    published                 derived                   ×n
  --------------  ----------------------  ------------------------  ------------------------  --
  IRいしかわ鉄道        IRいしかわ鉄道線               金沢 → ?利伽羅                 金沢 → 倶利伽羅*                ×1
  WILLER　TRAINS   宮福線・宮津線                 宮津 → 福知山                  福知山* → 豊岡*                ×1
  あいの風とやま鉄道       あいの風とやま鉄道線              ?利伽羅 → 市振                 市振* → 倶利伽羅*               ×1
  いすみ鉄道           いすみ線                    大多喜 → 城見ヶ丘                大多喜 → 大原*                 ×2
  えちぜん鉄道          勝山永平寺線・三国芦原線            福井 → 勝山                   勝山* → 三国港*                ×1
  とさでん交通          軌道線                      →                        後免町* → 桟橋通五丁目*            ×1
  一畑電車            北松江線・大社線                電鉄出雲市 → 松江しんじ湖温泉          電鉄出雲市 → 川跡*               ×1
  九州旅客鉄道          肥薩線                     人吉 → 吉松                   大畑* → 真幸*                 ×1
  九州旅客鉄道          豊肥本線                    肥後大津 → 宮地                 肥後大津 → 立野*                ×1
  京王電鉄            京王線・高尾線・相模原線            幡ヶ谷 → 笹塚                  幡ヶ谷 → 笹塚*                 ×1
  京王電鉄            京王線・高尾線・相模原線            笹塚 → 代田橋                  笹塚* → 代田橋                 ×1
  仙台市             東西線                     富沢 → 泉中央                  荒井* → 八木山動物公園*            ×1
  伊予鉄道            松山市内軌道線                  →                        上一万* → 松山市駅*              ×1
  伊予鉄道            高浜線・横河原線・郡中線            高浜 → 横河原                  横河原* → 郡中港*               ×1
  函館市             函館市内軌道線                 函館どつく前 → 湯の川              函館どつく前 → 十字街*             ×1
  北海道旅客鉄道         千歳・室蘭線                  白石 → 苫小牧                  白石 → 南千歳*                 ×1
  北海道旅客鉄道         海峡線                     中小国 → 木古内                 木古内* → 木古内                ×1
  四国旅客鉄道          本四備讃線                   児島 → 宇多津                  宇多津* → 宇多津                ×1
  土佐くろしお鉄道        中村線・宿毛線・阿佐線             窪川 → 宿毛                   窪川 → 後免*                  ×1
  宇都宮ライトレール       宇都宮芳賀ライトレール線            宇都宮駅東口 → 芳賀・高根沢工業団地       宇都宮* → 芳賀・高根沢工業団地         ×1
  富士山麓鉄道          大月線・河口湖線                大月 → 河口湖                  富士山* → 河口湖                ×1
  富山地方鉄道          富山市内軌道線                  →                        富山大学前* → 富山駅*             ×1
  岡山電気軌道          東山本線・清輝橋線               岡山駅前 → おかでんミュージアム         岡山駅前 → 清輝橋*               ×1
  平成筑豊鉄道          伊田線・糸田線・田川線             直方 → 行橋                   行橋* → 田川後藤寺*              ×1
  広島電鉄            宮島線                     広電西広島(己斐) → 広電宮島口         広電宮島口* → 広電西広島（己斐）*       ×1
  広島電鉄            広島市内軌道線                  →                        広電西広島（己斐）* → 皆実町六丁目*      ×1
  弘南鉄道            大鰐線                     大鰐 → 弘前中央                 大鰐 → 中央弘前*                ×1
  札幌市交通事業振興公社     一条・山鼻軌道線                 →                        西4丁目* → 西4丁目*             ×1
  東京地下鉄           13号線副都心線                平和台 → 氷川台                 平和台 → 東池袋*                ×1
  東日本旅客鉄道         上越新幹線                   上野 → 大宮                   大宮* → 大宮                  ×1
  東日本旅客鉄道         上越新幹線                   熊谷 → 本庄早稲田                熊谷 → 高崎*                  ×2
  東日本旅客鉄道         両毛線                     大平下 → 岩舟                  新大平下* → 岩舟                ×1
  東日本旅客鉄道         両毛線                     岩舟 → 佐野                   岩舟 → 足利*                  ×2
  東日本旅客鉄道         両毛線                     栃木 → 大平下                  栃木 → 新大平下*                ×1
  東日本旅客鉄道         中央線                     初狩 → 笹子                   初狩 → 甲府*                  ×2
  東日本旅客鉄道         久留里線                    下郡 → 小櫃                   馬来田* → 小櫃                 ×1
  東日本旅客鉄道         久留里線                    馬来田 → 下郡                  馬来田 → 馬来田*                ×1
  東日本旅客鉄道         京葉線                     西船橋 → 市川塩浜                市川塩浜* → 市川塩浜              ×1
  東日本旅客鉄道         八高線                     折原 → 寄居                   寄居* → 寄居                  ×1
  東日本旅客鉄道         八高線                     拝島 → 東福生                  拝島 → 福生*                  ×1
  東日本旅客鉄道         八高線                     東福生 → 箱根ヶ崎                箱根ヶ崎* → 箱根ヶ崎              ×1
  東日本旅客鉄道         八高線                     松久 → 児玉                   松久 → 倉賀野*                 ×2
  東日本旅客鉄道         内房線                     竹岡 → 浜金谷                  竹岡 → 館山*                  ×2
  東日本旅客鉄道         外房線                     上総一ノ宮 → 東浪見               上総一ノ宮 → 勝浦*               ×2
  東日本旅客鉄道         常磐線                     高浜 → 石岡                   高浜 → 勝田*                  ×2
  東日本旅客鉄道         成田線                     久住 → 滑河                   滑河* → 滑河                  ×1
  東日本旅客鉄道         成田線                     大戸 → 佐原                   佐原* → 佐原                  ×1
  東日本旅客鉄道         成田線                     水郷 → 小見川                  水郷 → 松岸*                  ×2
  東日本旅客鉄道         東北線                     尾久 → 赤羽                   尾久 → 西日暮里*                ×2
  東日本旅客鉄道         東北線                     間々田 → 小山                  間々田 → 宇都宮*                ×2
  東日本旅客鉄道         東海道線                    真鶴 → 湯河原                  真鶴 → 熱海*                  ×3
  東日本旅客鉄道         東金線                     福俵 → 東金                   東金* → 東金                  ×1
  東日本旅客鉄道         水戸線                     小田林 → 結城                  結城* → 結城                  ×1
  東日本旅客鉄道         水戸線                     東結城 → 川島                  川島* → 川島                  ×1
  東日本旅客鉄道         水戸線                     玉戸 → 下館                   玉戸 → 友部*                  ×2
  東日本旅客鉄道         津軽線                     中小国 → 三厩                  三厩* → 三厩                  ×1
  東日本旅客鉄道         相模線                     入谷 → 相武台下                 座間* → 相武台下                ×1
  東日本旅客鉄道         相模線                     海老名 → 入谷                  海老名 → 座間*                 ×1
  東日本旅客鉄道         総武線                     南酒々井 → 榎戸                 榎戸* → 榎戸                  ×1
  東日本旅客鉄道         総武線                     松尾 → 横芝                   松尾 → 銚子*                  ×2
  東日本旅客鉄道         花輪線                     荒屋新町 → 鹿角花輪               荒屋新町 → 十和田南*              ×1
  東日本旅客鉄道         花輪線                     鹿角花輪 → 大館                 大館* → 十和田南*               ×1
  東日本旅客鉄道         青梅線                     二俣尾 → 軍畑                  二俣尾 → 二俣尾*                ×1
  東日本旅客鉄道         青梅線                     宮ノ平 → 日向和田                日向和田* → 日向和田              ×1
  東日本旅客鉄道         青梅線                     日向和田 → 石神前                日向和田 → 日向和田*              ×1
  東日本旅客鉄道         青梅線                     沢井 → 御嶽                   御嶽* → 御嶽                  ×1
  東日本旅客鉄道         青梅線                     石神前 → 二俣尾                 日向和田* → 二俣尾               ×1
  東日本旅客鉄道         青梅線                     軍畑 → 沢井                   二俣尾* → 御嶽*                ×1
  東日本旅客鉄道         青梅線                     青梅 → 宮ノ平                  青梅 → 日向和田*                ×2
  東日本旅客鉄道         高崎線                     本庄 → 神保原                  本庄 → 高崎*                  ×2
  東日本旅客鉄道         鶴見線                     国道 → 鶴見小野                 鶴見* → 花月総持寺*              ×1
  東日本旅客鉄道         鶴見線                     鶴見 → 国道                   鶴見 → 鶴見*                  ×2
  東日本旅客鉄道         鶴見線                     鶴見小野 → 弁天橋                花月総持寺* → 弁天橋              ×1
  東日本旅客鉄道         鹿島線                     香取 → 鹿島サッカースタジアム          鹿島サッカースタジアム* → 鹿島サッカースタジアム  ×1
  東武鉄道            伊勢崎線                    とうきょうスカイツリー → 曳舟          曳舟* → 曳舟                  ×2
  東武鉄道            伊勢崎線                    浅草 → とうきょうスカイツリー          浅草 → 曳舟*                  ×2
  東武鉄道            伊勢崎線                    館林 → 多々良                  館林 → 新伊勢崎*                ×2
  東武鉄道            宇都宮線                    野州平川 → 野州大塚               野州平川 → 東武宇都宮*             ×2
  東武鉄道            日光線                     合戦場 → 家中                  合戦場 → 東武日光*               ×2
  東海旅客鉄道          中央線                     中津川 → 落合川                 中津川 → 塩尻*                 ×2
  東海旅客鉄道          名松線                     伊勢八太 → 一志                 伊勢八太 → 松阪*                ×2
  東海旅客鉄道          御殿場線                    相模金子 → 松田                 相模金子 → 沼津*                ×2
  東海旅客鉄道          東海道新幹線                  名古屋 → 岐阜羽島                名古屋 → 京都*                 ×2
  東海旅客鉄道          東海道新幹線                  新横浜 → 小田原                 新横浜 → 豊橋*                 ×2
  東海旅客鉄道          東海道線                    豊橋 → 二川                   豊橋 → 熱海*                  ×2
  東海旅客鉄道          東海道線                    関ヶ原 → 垂井                  米原* → 荒尾*                 ×3
  東海旅客鉄道          紀勢線                     一身田 → 津                   一身田 → 亀山*                 ×2
  東海旅客鉄道          紀勢線                     阿漕 → 高茶屋                  阿漕 → 新宮*                  ×2
  東海旅客鉄道          関西線                     河曲 → 加佐登                  河曲 → 亀山*                  ×2
  東海旅客鉄道          飯田線                     江島 → 東上                   江島 → 辰野*                  ×2
  東海旅客鉄道          高山線                     中川辺 → 下麻生                 中川辺 → 猪谷*                 ×2
  熊本市             熊本市内軌道線                  →                        健軍町* → 県立体育館前*            ×1
  神戸市             西神線・山手線・北神線             新長田 → 長田                  新長田 → 新神戸*                ×1
  神戸市             西神線・山手線・北神線             谷上 → 新神戸                  新神戸* → 新神戸                ×1
  福井鉄道            福武線                     越前武生 → 田原町                仁愛女子高校* → 田原町             ×1
  福岡市             七隈線                     姪浜 → 福岡空港                 天神南* → 橋本*                ×1
  福岡市             箱崎線                     姪浜 → 福岡空港                 中洲川端* → 福岡空港              ×1
  秩父鉄道            秩父本線                    波久礼 → 寄居                  波久礼 → 三峰口*                ×2
  舞浜リゾートライン       ディズニーリゾートライン            リゾートゲートウェイ・ステーション → リゾートゲートウェイ・ステーション  東京ディズニーランド･ステーション* → 東京ディズニーランド･ステーション*  ×1
  西日本旅客鉄道         おおさか東線                  放出 → 高井田中央                放出 → 東淀川*                 ×2
  西日本旅客鉄道         加古川線                    河合西 → 青野ヶ原                河合西 → 西脇市*                ×2
  西日本旅客鉄道         姫新線                     余部 → 太市                   余部 → 播磨新宮*                ×2
  西日本旅客鉄道         小野田線                    小野田 → 居能                  小野田 → 長門本山*               ×1
  西日本旅客鉄道         山陰線                     鍼灸大学前 → 胡麻                鍼灸大学前 → 福知山*              ×2
  西日本旅客鉄道         山陽新幹線                   西明石 → 姫路                  西明石 → 岡山*                 ×2
  西日本旅客鉄道         山陽線                     はりま勝原 → 網干                はりま勝原 → 上郡*               ×2
  西日本旅客鉄道         播但線                     香呂 → 溝口                   香呂 → 寺前*                  ×2
  西日本旅客鉄道         東海道線                    彦根 → 南彦根                  彦根 → 米原*                  ×2
  西日本旅客鉄道         湖西線                     近江舞子 → 北小松                近江舞子 → 近江塩津*              ×2
  西日本旅客鉄道         紀勢線                     宮前 → 紀三井寺                 宮前 → 白浜*                  ×2
  西日本旅客鉄道         関西線                     柘植 → 新堂                   新堂* → 亀山*                 ×2
  西日本鉄道           天神大牟田線                  西鉄福岡(天神) → 大牟田            西鉄福岡（天神）* → 大牟田           ×1
  豊橋鉄道            渥美線                     老津 → 杉山                   老津 → 三河田原*                ×2
  近畿日本鉄道          名古屋・三重線                 久居 → 桃園                   久居 → 鳥羽*                  ×5
  近畿日本鉄道          名古屋・三重線                 津新町 → 南が丘                 津新町 → 賢島*                 ×2
  近畿日本鉄道          大阪・京都・奈良線               石見 → 田原本                  石見 → 新王寺*                 ×2
  長崎電気軌道          長崎市内軌道線                  →                        崇福寺* → 市民会館*              ×1
  長良川鉄道           越美南線                    洲原 → 母野                   洲原 → 北濃*                  ×2
  高松琴平電気鉄道        琴平線・志度線・長尾線             高松築港 → 琴電琴平               高松築港 → 長尾*                ×1
  鹿児島市            鹿児島市内軌道線                 →                        鹿児島駅前* → 高見馬場*            ×1
