MAIN_RIV,endorheic,upland,length_km,peak_cms,term_cms,reaches,tail_km,pct_lost
40017702,0,1998203.0,4860.2,10904.735,10899.763,28487,0.0,0.045594872319221214
40613666,0,1909199.0,5898.2,31067.719,31067.719,32568,0.0,0.0
41067217,0,1574223.0,3322.5,40396.961,40392.98,32571,0.0,0.009854701694023138
41023100,0,854649.8,3322.6,5820.661,4101.084,12525,0.0,29.542641291083616
41392598,0,774281.3,4822.3,15252.022,15252.022,14238,0.0,0.0
40348332,1,767613.7,2371.6,418.055,179.48,9563,0.0,57.06784992405306
40417973,0,761252.5,5446.9,1490.635,1490.635,10436,0.0,0.0
40190238,1,463252.7,2721.6,2089.345,1592.135,6497,0.0,23.79741019314665
41109275,0,389563.7,2108.4,9176.67,9175.213,7286,0.0,0.01587721907838624
41284417,0,376349.2,2050.3,17182.439,17182.439,9265,0.0,0.0
41030263,0,319156.2,1712.8,780.028,558.288,4088,0.0,28.42718466516586
40145639,1,310715.9,2812.9,674.585,361.285,4144,0.0,46.44336888605587
41275841,0,310379.7,1497.1,3378.572,3372.786,4690,0.0,0.1712557849884555
41279826,0,265228.0,3216.3,5217.502,5217.502,4854,0.0,0.0
41297283,0,258781.0,1492.7,2046.791,2046.791,3956,0.0,0.0
40142747,1,216797.8,1375.3,240.541,240.33,2845,0.0,0.08771893357056859
40381615,0,211329.9,895.1,289.26,288.836,2907,0.0,0.1465809306506194
40321805,0,191233.7,1209.9,287.894,287.894,2616,0.0,0.0
40142243,1,185990.7,809.7,226.455,226.455,2497,0.0,0.0
41337891,0,144308.0,1013.2,835.933,835.933,1975,0.0,0.0
41182380,0,138847.5,1188.4,3383.521,3380.079,2728,0.0,0.10172834748181092
41181885,0,135524.5,994.5,2561.632,2561.632,2434,0.0,0.0
40106648,1,112601.9,772.1,36.23,36.144,1512,0.0,0.23737234336185242
40097337,1,112235.5,870.9,79.203,74.492,1541,0.0,5.948007019936108
41141330,0,96002.1,1327.3,1545.419,1545.419,1536,0.0,0.0
40345649,1,82860.8,1205.8,10.689,0.0,1090,0.0,100.0
40341441,1,79017.1,755.6,32.516,26.487,989,0.0,18.541641038258096
41376077,0,78368.3,813.8,316.793,307.501,1083,0.0,2.933145618747901
40188382,1,74365.5,1123.5,232.272,221.721,984,0.0,4.5425191155197275
40182409,1,72225.2,884.3,87.647,85.423,968,0.0,2.537451367417032
40276558,1,71251.8,849.0,49.39,49.367,993,0.0,0.04656813120065273
40160340,1,68865.2,504.4,124.899,124.899,863,0.0,0.0
40442115,1,64775.8,554.8,13.464,10.279,851,0.0,23.655674390968507
41159039,0,64335.3,766.1,545.229,545.229,846,0.0,0.0
40351117,0,62209.3,823.6,595.986,595.986,854,0.0,0.0
40004496,0,60970.2,489.9,673.556,671.291,874,0.0,0.33627493482353277
40910797,0,60892.1,489.1,1773.142,1773.142,1159,0.0,0.0
40532802,0,58812.4,575.0,373.912,373.912,728,0.0,0.0
41319354,0,54895.4,608.1,139.006,138.977,712,0.0,0.02086240881687962
40191514,1,53923.8,856.3,9.795,7.646,707,0.0,21.939765186319548
